indicator_orig,indic_id,indicator_harmonized
Red List Index (impacts of utilization),GEO_13_18_136_119,red list index (for utilized species)
Ecological Footprint,GEO_13_19_142_120,ecological footprint
 Biocapacity,GEO_13_19_143_121,biocapacity
willingness-to-participate,GEO_14_7_145_122,willingness-to-participate
Coverage of marine protected areas,GEO_14_14_147_123,coverage of protected areas in relation to marine areas
beach litter,GEO_14_14_151_124,beach litter
floating plastic debris density,GEO_14_15_152_125,plastic debris density
 beach litter,GEO_14_15_152_126,beach litter
 nutrient pollution,GEO_14_15_152_127,nutrient pollution
 Regional Seas and Action Plans,GEO_14_15_152_128,regional seas and action plans
 floating debris density,GEO_14_15_154_129,plastic debris density
 stranded debris,GEO_14_15_154_130,stranded debris
Number of Vulnerable Marine Ecosystems,GEO_14_16_155_131,number of vulnerable marine ecosystems
 stock status,GEO_14_16_156_132,stock status
 IUCN Red List of Ecosystems,GEO_14_16_157_133,red list of ecosystems
Proportion of land degraded over total land area,GEO_15_17_161_134,proportion of land that is degraded over total land area
 Terrestrial protected areas as a percentage of total land area,GEO_15_17_161_135,proportion of terrestrial protected area as a share of the total land area
 Ratio of land consumption rate to population growth rate,GEO_15_17_161_136,ratio of land consumption rate to population growth rate
soil carbon sequestration,GEO_15_18_165_137,soil carbon sequestration
terrestrial protected areas as a percentage of total land area,GEO_15_19_166_138,proportion of terrestrial protected area as a share of the total land area
the proportion of terrestrial protected area as a share of the total land area expressed as a percentage,GEO_15_19_167_139,proportion of terrestrial protected area as a share of the total land area
Terrestrial protected areas as a percentage of total land area,GEO_15_19_168_140,proportion of terrestrial protected area as a share of the total land area
 deforestation rate,GEO_15_19_169_141,deforestation rate
 impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,GEO_15_19_169_142,impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas
 forest area as a percentage of land area,GEO_15_19_170_143,forest area as a percentage of total land area
ratio of land consumption rate to population growth rate,GEO_15_20_171_144,ratio of land consumption rate to population growth rate
 Resources per capita invested in human settlement per km2,GEO_15_21_173_145,resources per capita invested in human settlement per km2
" Percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",GEO_15_21_173_146,"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically"
 Ratio of land consumption rate to urban population growth rate at comparable scale,GEO_15_21_173_147,ratio of land consumption rate to urban population growth rate at comparable scale
Proportion of population using safely managed drinking water services,GEO_16_14_181_148,proportion of population using safely managed drinking water services
" Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",GEO_16_14_181_149,proportion of population using safely managed sanitation services
 freshwater withdrawal as a proportion of available freshwater resources,GEO_16_14_181_150,freshwater withdrawal as a proportion of available freshwater resources
 Millenium Development Goals Indicators,GEO_16_15_183_151,millenium development goals indicators
 improved/unimproved sources of drinking water,GEO_16_16_184_152,improved/unimproved sources of drinking water
proportion of the global population using piped water supplies on premises,GEO_16_16_185_153,proportion of the global population using piped water supplies on premises
 proportion of population using an improved drinking water source,GEO_16_16_185_154,proportion of population using safely managed drinking water services
"Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water",GEO_16_17_187_155,proportion of population using safely managed sanitation services
 number of people without access to safe sanitation services,GEO_16_17_189_156,number of people without access to safe sanitation services
 improved water supply and sanitation,GEO_16_18_190_157,improved water supply and sanitation
Level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GEO_16_18_192_158,level of water stress (freshwater withdrawal as a proportion of available freshwater resources)
Level of water stress,GEO_16_18_193_159,level of water stress
 freshwater change over time,GEO_16_19_194_160,freshwater change over time
quantity of land area known to have (in)sufficient infrastructure against flooding,GEO_17_8_200_161,quantity of land area known to have (in)sufficient infrastructure against flooding
 number of residents living in floodplains,GEO_17_8_200_162,number of residents living in floodplains
 low-elevation coastal zones,GEO_17_8_200_163,low-elevation coastal zones
 network of communication channels in times of crisis or disaster,GEO_17_8_200_164,network of communication channels in times of crisis or disaster
 drought-resistant vegetation,GEO_17_8_200_165,drought-resistant vegetation
 water- saving devices,GEO_17_8_200_166,water- saving devices
 buffer zones to protect catchment areas,GEO_17_8_200_167,buffer zones to protect catchment areas
 amend policies that lead to destruction of mangroves,GEO_17_8_200_168,amend policies that lead to destruction of mangroves
 laws preventing recycling of water,GEO_17_8_200_169,laws preventing recycling of water
 laws allowing building in vulnerable areas,GEO_17_8_200_170,laws allowing building in vulnerable areas
 land-use models for efficient farming,GEO_17_8_200_171,land-use models for efficient farming
 sustainable fishing practices,GEO_17_8_200_172,sustainable fishing practices
