indicator_orig,indic_id,indicator_harmonized
 transfer of water to the atmosphere,IPBES_GA_2.3_56_155_356,transfer of water to the atmosphere
 biotic productivity,IPBES_GA_2.3_56_155_357,biotic productivity
Extent of protected and intact habitat globally,IPBES_GA_2.3_59_157_358,extent of protected and intact habitat globally
Correlation between high cultural diversity and areas of high biodiversity,IPBES_GA_2.3_71_160_359,correlation between high cultural diversity and areas of high biodiversity
Population extinctions,IPBES_GA_2.3_75_161_360,population extinctions
 Range contractions,IPBES_GA_2.3_75_161_361,range contractions
IUCN Red list index,IPBES_GA_4_30_175_362,red list index
Biomass abundance,IPBES_GA_4_34_176_363,biomass abundance
 Production,IPBES_GA_4_34_176_364,production
 Species distribution area and shift,IPBES_GA_4_34_176_365,species distribution area and shift
 Species Richness,IPBES_GA_4_34_176_366,species richness
 Habitat area and Quality,IPBES_GA_4_34_176_367,habitat area and quality
 Organisms` size or growth,IPBES_GA_4_34_176_368,organisms` size or growth
 Reproduction rate,IPBES_GA_4_34_176_369,reproduction rate
" Pest, invasive or harmful species",IPBES_GA_4_34_176_370,"pest, invasive or harmful species"
 C pool,IPBES_GA_4_34_176_371,c pool
Global sclae ecosystem carbon storage,IPBES_GA_4_87_186_372,global scale ecosystem carbon storage
Adaptive capacity index (ACI),IPBES_GA_4_129_208_373,adaptive capacity index (aci)
OECD Better life index,IPBES_GA_4_131_209_374,oecd better life index
Living Planet Index,IPBES_GA_4_144_217_375,living planet index
SDG Index,IPBES_GA_4_147_220_376,sustainable development goals index
Proportion of fish stocks within safe biological limits,IPBES_GA_4_152_225_377,proportion of fish stocks within biologically sustainable levels
 global effort in bottom trawling,IPBES_GA_4_152_225_378,global effort in bottom-trawling
 MSC certified fisheries,IPBES_GA_4_152_225_379,marine stewardship council certified fisheries
Ocean health index,IPBES_GA_4_155_228_380,ocean health index
 Cumulative human impacts on marine ecosystems,IPBES_GA_4_155_228_381,cumulative human impacts on marine ecosystems
 average conservation status,IPBES_GA_4_158_230_382,average conservation status
 Living Planet INDEX,IPBES_GA_5_10_235_383,living planet index
 Biodiversity Intactness INDEX,IPBES_GA_5_10_235_384,biodiversity intactness index
Mean Species Abundance Index,IPBES_GA_5_34_243_385,mean species abundance (msa)
 Extent of Suitable Habitat ESH Index,IPBES_GA_5_34_243_386,extent of suitable habitat index (esh)
 Living Planet Index,IPBES_GA_5_34_243_387,living planet index
 Species Area Relationship,IPBES_GA_5_34_243_388,species area relationship
Human Development Index,IPBES_GA_5_68_252_389,human development index (hdi)
Happy Planet INDEX,IPBES_GA_5_69_253_390,happy planet index
 Gross Domestic Happiness INDEX,IPBES_GA_5_69_253_391,gross national happiness index
Ecological Footprint,IPBES_GA_5_73_254_392,ecological footprint
Gini Index,IPBES_GA_5_80_256_393,gini index
Rule of Law Index,IPBES_GA_5_104_261_394,rule of law index
 Environmental Performance Index,IPBES_GA_5_104_261_395,environmental performance index
Environmental Performance Index,IPBES_GA_5_107_262_396,environmental performance index
Happy Planet Index,IPBES_GA_5_108_263_397,happy planet index
Ocean Health Index,IPBES_GA_6_86_279_398,ocean health index
Water Quality Risk index,IPBES_GA_6_93_281_399,water quality risk index
MiBiD Index,IPBES_GA_6_122_285_400,mibid index
Commodity Index,IPBES_GA_6_137_288_401,commodity index
Index of Sustainable Economic Welfare (ISEW),IPBES_GA_6_139_289_402,index of sustainable economic welfare (isew)
 Genuine Progress Indicator (GPI),IPBES_GA_6_139_289_403,genuine progress indicator
 GDP,IPBES_GA_6_139_289_404,gross domestic product
Gross National Happiness Index,IPBES_GA_6_140_290_405,gross national happiness index
Biodiversity Barometer (% of respondents that have heard of biodiversity),IPBES_GA_3_15_329_406,biodiversity barometer (percentage of respondents that have heard of biodiversity)
 Biodiversity Barometer (% of respondents giving correct definition of biodiversity),IPBES_GA_3_15_329_407,biodiversity barometer (percentage of respondents giving correct definition of biodiversity)
 Funding for environmental education,IPBES_GA_3_15_329_408,funding for environmental education
 Online interest in biodiversity (proportion of google searches),IPBES_GA_3_15_329_409,online interest in biodiversity (proportion of google searches)
 Funding for Environmental Impact Assessments,IPBES_GA_3_15_329_410,funding for environmental impact assessments
 Number of research studies involving economic valuation,IPBES_GA_3_15_329_411,number of research studies involving economic valuation
 World Trade Organisation greenbox agricultural subsidies,IPBES_GA_3_15_329_412,world trade organisation greenbox agricultural subsidies
 Funding towards institutional capacity building in fisheries,IPBES_GA_3_15_329_413,funding towards institutional capacity building in fisheries
 Percentage of countries that are Category 1 CITES Parties,IPBES_GA_3_15_329_414,percentage of countries that are category 1 cites parties
 Ecological Footprint,IPBES_GA_3_15_329_415,ecological footprint
 Red List Index (impacts of utilisation),IPBES_GA_3_15_329_416,red list index (for utilized species)
 Red List Index (internationally traded species),IPBES_GA_3_15_329_417,red list index (internationally traded species)
 Human appropriation of fresh water,IPBES_GA_3_15_329_418,human appropriation of fresh water
 Wetland Extent Trends Index,IPBES_GA_3_15_329_419,wetland extent trends index
 Area of tree cover loss,IPBES_GA_3_15_329_420,tree cover
 Percentage natural habitat extent,IPBES_GA_3_15_329_421,extent of suitable habitat
 Wild Bird Index (habitat specialists),IPBES_GA_3_15_329_422,wild bird index (habitat specialists)
 Red List index (forest specialists),IPBES_GA_3_15_329_423,red list index (forest specialists)
 Proportion of fish stocks within safe biological limits,IPBES_GA_3_15_329_424,proportion of fish stocks within biologically sustainable levels
 Marine Stewardship Council certified fisheries,IPBES_GA_3_15_329_425,marine stewardship council certified fisheries
 Global effort in bottom-trawling,IPBES_GA_3_15_329_426,global effort in bottom-trawling
 Marine trophic index,IPBES_GA_3_15_329_427,marine trophic index (mti)
 Red List Index (impacts of fisheries),IPBES_GA_3_15_329_428,red list index (impacts of fisheries)
 Wild Bird Index (farmland birds),IPBES_GA_3_15_329_429,wild bird index (farmland birds)
 Area of agricultural land under organic production,IPBES_GA_3_15_329_430,area of agricultural land under organic production
 Area of agricultural land under conservation,IPBES_GA_3_15_329_431,area of agricultural land under conservation
proportion of countries that are category 1 signatories to the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),IPBES_GA_3_26_354_432,proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites)
Growth in human appropriation of net primary production (HANPP) ,IPBES_GA_3_26_355_433,growth in human appropriation of net primary productivity
 ecological footprint,IPBES_GA_3_26_355_434,ecological footprint
 water footprint,IPBES_GA_3_26_355_435,water footprint
 Demand for greener products and services,IPBES_GA_3_26_355_436,demand for greener products and services
 green consumption,IPBES_GA_3_26_355_437,green consumption
annual rate of net forest loss,IPBES_GA_3_27_356_438,annual rate of net forest loss
 annual tree cover loss,IPBES_GA_3_27_356_439,annual rate of net forest loss
"wild bird index (farmland birds)
",IPBES_GA_3_31_358_440,wild bird index (farmland birds)
percentage of live coral cover,IPBES_GA_3_34_361_441,percentage of live coral cover
Climatic Impact INDEX,IPBES_GA_3_35_362_442,climatic impact index
proportion of sites in the World Database on Protected Areas reporting shared governance,IPBES_GA_3_38_364_443,proportion of sites in the world database on protected areas reporting shared governance
number of extintions,IPBES_GA_3_40_367_444,number of extintions
  IUCN Red List,IPBES_GA_3_40_368_445,red list index
Living Planet INDEX,IPBES_GA_3_41_369_446,living planet index
proportion of domesticated breeds categorized as at risk or extinct,IPBES_GA_3_44_371_447,proportion of domesticated breeds categorized as at risk or extinct
 extinction risk of wild relatives of domesticated or farmed birds and mammals,IPBES_GA_3_44_371_448,extinction risk of wild relatives of domesticated or farmed birds and mammals
IUCN Red List,IPBES_GA_3_45_374_449,red list index
 Red List INDEX for vertebrate pollinators,IPBES_GA_3_45_374_450,red list index (vertebrate pollinators)
number of countries implementing NBSAPs,IPBES_GA_3_48_377_451,number of countries implementing nbsaps
numbers of scientific publications on biodiversity,IPBES_GA_3_49_379_452,numbers of scientific publications on biodiversity
 relevant research funding,IPBES_GA_3_49_379_453,relevant research funding
 taxa assessed for the IUCN Red List,IPBES_GA_3_49_379_454,proportion of known species assessed through the red list index
 species with data included in the Global Biodiversity Information Facility,IPBES_GA_3_49_379_455,species with data included in the global biodiversity information facility
 Mean polar sea ice extent,IPBES_GA_3_51_381_456,mean polar sea ice extent
 Official development assistance provided in support of CBD objectives,IPBES_GA_3_51_381_457,official development assistance provided in support of the cbd objectives
 Wild Bird INDEX (habitat specialists),IPBES_GA_3_51_381_458,wild bird index (habitat specialists)
 Pesticide use,IPBES_GA_3_51_381_459,pesticide use
 Glacial mass balance,IPBES_GA_3_51_381_460,glacier mass balance
Red List INDEX for birds and mammals,IPBES_GA_3_51_382_461,red list index (birds and mammals)
Species Habitat INDEX,IPBES_GA_3_54_387_462,species habitat index
 Pesticide Use,IPBES_GA_3_54_387_463,pesticide use
Area of tree cover loss,IPBES_GA_3_55_389_464,tree cover
 Marine trophic INDEX,IPBES_GA_3_55_389_465,marine trophic index (mti)
 Percentage of Key Biodiversity Areas covered by protected areas,IPBES_GA_3_55_389_466,protected area coverage of key biodiversity areas
Red List Index (impacts of pollution),IPBES_GA_3_72_395_467,red list index (impacts of pollution)
 Percentage of freshwater Key Biodiversity Areas covered by protected areas,IPBES_GA_3_72_395_468,percentage of freshwater key biodiversity areas covered by protected areas
 Proportion of fish stocks in safe biological limits,IPBES_GA_3_72_395_469,proportion of fish stocks within biologically sustainable levels
 Marine Stewardship Council engaged fisheries (tonnes),IPBES_GA_3_72_395_470,marine stewardship council engaged fisheries
 Percentage of marine and coastal areas covered by protected areas,IPBES_GA_3_72_395_471,protected area coverage of marine and coastal areas
 Percentage of marine Key Biodiversity Areas covered by protected areas,IPBES_GA_3_72_395_472,percentage of marine key biodiversity areas covered by protected areas
 Percentage of terrestrial areas covered by protected areas,IPBES_GA_3_72_395_473,percentage of terrestrial ecoregions covered by protected areas
 Percentage of terrestrial ecoregions covered by protected areas,IPBES_GA_3_72_395_474,percentage of terrestrial ecoregions covered by protected areas
 Number of protected area management effectiveness assessments,IPBES_GA_3_72_395_475,number of protected area management effectiveness (pame) assessments
 Percentage of terrestrial Key Biodiversity Areas covered by protected areas,IPBES_GA_3_72_395_476,protected area coverage of key biodiversity areas
 Area of forest under sustainable management: total FSC and PEFC forest management certification (million ha),IPBES_GA_3_72_395_477,area of forest under sustainable management
 Area of tree cover loss (ha),IPBES_GA_3_72_395_478,tree cover
 Percentage of mountain Key Biodiversity Areas covered by protected areas,IPBES_GA_3_72_395_479,coverage by protected areas of important sites for mountain biodiversity
 Climatic Impact Index for Birds,IPBES_GA_3_72_395_480,climatic impact index for birds
 Number of invasive alien species introductions,IPBES_GA_3_72_395_481,number of invasive alien species introduction events
 Percentage of countries with invasive alien species legislation,IPBES_GA_3_72_395_482,percentage of countries with invasive alien species legislation
 Red List Index (impacts of invasive alien species),IPBES_GA_3_72_395_483,red list index (impacts of invasive alien species)
biochemical oxygen demand (BOD),IPBES_GA_3_74_399_484,biochemical oxygen demand (bod)
 nitrogen (N) loads,IPBES_GA_3_74_399_485,nitrogen (n) loads
 phosphorus (P) loads,IPBES_GA_3_74_399_486,phosphorus (p) loads
 total dissolved solids (TDS),IPBES_GA_3_74_399_487,total dissolved solids (tds)
blue water sustainability INDEX,IPBES_GA_3_76_401_488,blue water sustainability index
Human Development INDEX (HDI),IPBES_GA_3_77_402_489,human development index (hdi)
human development INDEX,IPBES_GA_3_97_413_490,human development index (hdi)
 multidimensional poverty INDEX,IPBES_GA_3_97_413_491,multidimensional poverty index
 Individual Deprivation Measure,IPBES_GA_3_97_413_492,individual deprivation measure
City Biodiversity INDEX,IPBES_GA_3_115_417_493,city biodiversity index
CO2 emissions,IPBES_GA_3_123_420_494,co2 emissions
 air quality,IPBES_GA_3_123_420_495,air quality
 water quality,IPBES_GA_3_123_420_496,water quality
proportion of the rural population who live within 2 km of an all-season road,IPBES_GA_3_128_421_497,proportion of the rural population who live within 2 km of an all-season road
 Passenger and freight volumes by mode of transport,IPBES_GA_3_128_421_498,passenger and freight volumes by mode of transport
migratory birds threatened or Near Threatened on the IUCN Red List,IPBES_GA_3_150_436_499,migratory birds threatened or near threatened on the red list index
 Red List INDEX,IPBES_GA_3_150_436_500,red list index
fisheries stock size,IPBES_GA_3_164_441_501,fisheries stock size
 fisheries exploitation rates,IPBES_GA_3_164_441_502,fisheries exploitation rates
Arctic Species Trend INDEX,IPBES_GA_3_169_443_503,arctic species trend index
number of countries that have ratified the Nagoya Protocol,IPBES_GA_3_175_446_504,number of countries that have ratified the nagoya protocol
IUCN Red List of Threatened Species,IPBES_SUA_1_1_1_1,red list index
GDP,IPBES_SUA_1_11_4_2,gross domestic product
Human Development Index,IPBES_SUA_1_12_5_3,human development index (hdi)
 Inclusive Wealth,IPBES_SUA_1_12_5_4,inclusive wealth
 Gross National Happiness Index,IPBES_SUA_1_12_5_5,gross national happiness index
IUCN Red List of threatened species,IPBES_SUA_1_22_10_6,red list index
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,IPBES_SUA_2_90_65_7,number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits
 number of countries with regulations requiring recovered of depleted species,IPBES_SUA_2_90_65_8,number of countries with regulations requiring recovered of depleted species
 Marine Stewardship Council Certified catch,IPBES_SUA_2_90_65_9,marine stewardship council certified catch
 Share of main groups of species in fish trade in terms of value,IPBES_SUA_2_90_65_10,share of main groups of species in fish trade in terms of value
importance of forests to people,IPBES_SUA_2_92_69_11,importance of forests to people
" Area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",IPBES_SUA_2_92_69_12,"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values"
 Recognition and value of forest-management knowledge and skills of local people,IPBES_SUA_2_92_69_13,recognition and value of forest-management knowledge and skills of local people
 Area and percent of forests used for subsistence purposes,IPBES_SUA_2_92_69_14,area and percent of forests used for subsistence purposes
 Resilience of forest-dependent communities,IPBES_SUA_2_92_69_15,resilience of forest-dependent communities
Ecolabel Index,IPBES_SUA_2_93_72_16,ecolabel index
quality and abundance of food and medicine species,IPBES_SUA_2_95_77_17,quality and abundance of food and medicine species
 habitat quality,IPBES_SUA_2_95_77_18,habitat quality
 harvest intensity,IPBES_SUA_2_95_77_19,harvest intensity
 sharing and trading institutions,IPBES_SUA_2_95_77_20,sharing and trading institutions
 accessibility of resources,IPBES_SUA_2_95_77_21,accessibility of resources
 weather patterns,IPBES_SUA_2_95_77_22,weather patterns
 cultural continuity,IPBES_SUA_2_95_77_23,cultural continuity
 abnormal occurrences in the territory,IPBES_SUA_2_95_77_24,abnormal occurrences in the territory
abundance of food species,IPBES_SUA_2_96_79_25,abundance of food species
 catch per unit effort,IPBES_SUA_2_96_79_26,catch per unit effort
 spatial distribution of species,IPBES_SUA_2_96_79_27,spatial distribution of species
 associated species,IPBES_SUA_2_96_79_28,associated species
 cyclical patterns of abundance,IPBES_SUA_2_96_79_29,cyclical patterns of abundance
 quality and abundance of food and medicine species,IPBES_SUA_2_96_79_30,quality and abundance of food and medicine species
prevalence of certain species,IPBES_SUA_2_97_80_31,prevalence of certain species
 sounds associated with the forest,IPBES_SUA_2_97_80_32,sounds associated with the forest
 intensity of weather,IPBES_SUA_2_97_80_33,intensity of weather
 strength of people’s connection to the forest,IPBES_SUA_2_97_80_34,strength of people’s connection to the forest
 body condition,IPBES_SUA_2_97_80_35,body condition
 population size,IPBES_SUA_2_97_80_36,population size
 variability in migration patterns,IPBES_SUA_2_97_80_37,variability in migration patterns
 environmental change,IPBES_SUA_2_97_80_38,environmental change
 hunting success,IPBES_SUA_2_97_80_39,hunting success
 prevalence of knowledge about seasonal cycles in their communities,IPBES_SUA_2_97_80_40,prevalence of knowledge about seasonal cycles in their communities
 mean body mass,IPBES_SUA_2_97_80_41,mean body mass
 abundance of preferred harvest species,IPBES_SUA_2_97_80_42,abundance of preferred harvest species
 catch-per-unit effort,IPBES_SUA_2_97_80_43,catch per unit effort
number of publications,IPBES_SUA_4_2_109_44,number of publications
impact of agricultural habitat conversion on birds,IPBES_SUA_4_42_113_45,impact of agricultural habitat conversion on birds
Loss of lichen diversity,IPBES_SUA_4_47_115_46,loss of lichen diversity
Farmland Bird Index,IPBES_SUA_4_51_116_47,farmland bird index
 Quality of Governance Index,IPBES_SUA_4_61_118_48,quality of governance index
number of CITES parties that have adopted standard procedures for non-detrimental findings,IPBES_SUA_4_65_122_49,number of cites parties that have adopted standard procedures for non-detrimental findings
 number of surveys of CITES listed species undertaken by exporting States to support non-detrimental findings,IPBES_SUA_4_65_122_50,number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings
number of Appendix-II species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the Review of Significant Trade,IPBES_SUA_4_66_123_51,number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade
 uplisting of species or populations from Appendix II to Appendix I,IPBES_SUA_4_66_123_52,uplisting of species or populations from appendix ii to appendix i
Number of CITES parties with increased capacity,IPBES_SUA_4_68_125_53,number of cites parties with increased capacity
 CITES parties that have implemented relevant resolutions and decisions,IPBES_SUA_4_68_125_54,cites parties that have implemented relevant resolutions and decisions
Red List Index,IPBES_SUA_4_70_126_55,red list index
commercial trade in wild-collected specimens,IPBES_SUA_4_71_127_56,commercial trade in wild-collected specimens
 Red List Index,IPBES_SUA_4_71_127_57,red list index
Body fat,IPBES_SUA_4_78_130_58,body fat
 reproductive success,IPBES_SUA_4_78_130_59,reproductive success
 abundance and location of habitat,IPBES_SUA_4_78_130_60,abundance and location of habitat
Body condition,IPBES_SUA_4_89_132_61,body condition
 Reproductive success,IPBES_SUA_4_89_132_62,reproductive success
 Habitat conditions,IPBES_SUA_4_89_132_63,habitat conditions
income,IPBES_SUA_4_149_137_64,income
 GDP,IPBES_SUA_4_149_137_65,gross domestic product
 access to land,IPBES_SUA_4_149_137_66,access to land
Multidimensional Poverty Index,IPBES_SUA_4_149_138_67,multidimensional poverty index
 material wealth,IPBES_SUA_4_149_140_68,material wealth
trade in wild mammals,IPBES_SUA_4_184_143_69,trade in wild mammals
 trade in wild animals,IPBES_SUA_4_184_143_70,trade in wild animals
Living Planet Index,IPBES_SUA_4_256_160_71,living planet index
Governance Index,IPBES_SUA_6_77_200_72,governance index
catch per unit effort,IPBES_SUA_6_115_207_73,catch per unit effort
invasive alien species are given new names by Indigenous Peoples and local communities,IPBES_IAS_1_53_8_1,invasive alien species are given new names by indigenous peoples and local communities
Total imports,IPBES_IAS_2_5_11_2,total imports
 Human population size,IPBES_IAS_2_5_11_3,human population size
 Gross domestic product per capita,IPBES_IAS_2_5_11_4,gross domestic product
 Number of tourists,IPBES_IAS_2_5_11_5,number of tourists
 Proportion of cropland,IPBES_IAS_2_5_11_6,proportion of cropland
 Proportion of urban area,IPBES_IAS_2_5_11_7,proportion of urban area
 Ship calls,IPBES_IAS_2_5_11_8,ship calls
 Number of people migrating,IPBES_IAS_2_5_11_9,number of people migrating
 Temperature,IPBES_IAS_2_5_11_10,temperature
number of studies on IAS available per region,IPBES_IAS_2_13_15_11,number of studies on ias available per region
number of widespread phyla for which no information was available for a particular region,IPBES_IAS_2_13_16_12,number of widespread phyla for which no information was available for a particular region
Comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IPBES_IAS_2_14_17_13,comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region
Total number of introduced alien species,IPBES_IAS_2_15_20_14,total number of introduced alien species
 Rate of species accumulation,IPBES_IAS_2_15_20_15,rate of species accumulation
Human development index,IPBES_IAS_2_18_24_16,human development index (hdi)
Red List of threatened species,IPBES_IAS_2_48_40_17,red list index
Current distribution of species,IPBES_IAS_2_155_79_18,current distribution of species
GDP per capita,IPBES_IAS_3_8_84_19,gross domestic product
 Human population density,IPBES_IAS_3_8_84_20,human population density
 mean annual precipitation,IPBES_IAS_3_8_84_21,mean annual precipitation
 mean annual temperature,IPBES_IAS_3_8_84_22,mean annual temperature
 alien species richness,IPBES_IAS_3_8_84_23,alien species richness
GDP,IPBES_IAS_3_34_90_24,gross domestic product
Evolutionary diversity,IPBES_IAS_3_84_95_25,evolutionary diversity
 tree biomass,IPBES_IAS_3_84_95_26,tree biomass
 phylogenetic distance,IPBES_IAS_3_84_95_27,phylogenetic distance
 species richness,IPBES_IAS_3_84_95_28,species richness
concentration of hydrogen ions (H+),IPBES_IAS_4_8_100_29,concentration of hydrogen ions (h+)
Number of extinctions,IPBES_IAS_4_22_102_30,number of species extinctions
 Number of species at risk of extinction,IPBES_IAS_4_22_102_31,number of species at risk of extinction
 local species richness,IPBES_IAS_4_22_102_32,local species richness
 Mean body length,IPBES_IAS_4_22_102_33,mean body length
 IUCN Red List Index,IPBES_IAS_4_22_102_34,red list index
species growth rate,IPBES_IAS_4_64_104_35,species growth rate
 species Condition Index,IPBES_IAS_4_64_104_36,species condition index
totem or culturally important species,IPBES_IAS_4_140_116_37,totem or culturally important species
IUCN Red List,IPBES_IAS_5_52_127_38,red list index
Functional diversity,IPBES_IAS_5_109_131_39,functional diversity
Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,IPBES_IAS_5_120_132_40,proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species
Macroinvertebrate-based indices,IPBES_IAS_5_130_134_41,macroinvertebrate-based indices
trends in pathways of introduction and spread,IPBES_IAS_6_11_138_42,trends in pathways of introduction and spread
 trends in numbers of invasive alien species and their impacts,IPBES_IAS_6_11_138_43,trends in numbers of invasive alien species and their impacts
" trends, mechanisms and severity of invasive alien species impacts",IPBES_IAS_6_11_138_44,"trends, mechanisms and severity of invasive alien species impacts"
 trends in the allocation of resources towards the prevention or control of invasive alien species,IPBES_IAS_6_11_138_45,trends in the allocation of resources towards the prevention or control of invasive alien species
 trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,IPBES_IAS_6_11_138_46,trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species
 trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,IPBES_IAS_6_11_138_47,trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species
 trends in the prevention of invasive alien species,IPBES_IAS_6_11_138_48,trends in the prevention of invasive alien species
 growth in information relevant to informing policy on invasive alien species prevention and control,IPBES_IAS_6_11_138_49,growth in information relevant to informing policy on invasive alien species prevention and control
 trends in successful control and eradications of invasive alien species,IPBES_IAS_6_11_138_50,trends in successful control and eradications of invasive alien species
existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species,IPBES_IAS_6_14_142_51,existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species
 resourcing of invasive alien species prevention and control activities,IPBES_IAS_6_14_142_52,resourcing of invasive alien species prevention and control activities
National funding for resourcing of biological invasions policy and management implementation,IPBES_IAS_6_17_143_53,national funding for resourcing of biological invasions policy and management implementation
 Global funding for resourcing of biological invasions policy and management implementation,IPBES_IAS_6_17_143_54,global funding for resourcing of biological invasions policy and management implementation
Number of biogeographic regions with risk-associated activities,IPBES_IAS_6_21_146_55,number of biogeographic regions with risk-associated activities
 Trends in numbers of facilities in the region,IPBES_IAS_6_21_146_56,trends in numbers of facilities in the region
" Number of tourists, scientists and facilities per biogeographic region",IPBES_IAS_6_21_146_57,"number of tourists, scientists and facilities per biogeographic region"
 Number of alien and invasive taxa per biogeographic region,IPBES_IAS_6_21_146_58,number of alien and invasive taxa per biogeographic region
 Trends in extinction risk of birds impacted by invasive species,IPBES_IAS_6_21_146_59,trends in extinction risk of birds impacted by invasive species
 Prospective inclusion of other native taxa and threatened habitats,IPBES_IAS_6_21_146_60,prospective inclusion of other native taxa and threatened habitats
 Trends in adoption of multinational agreements to reduce invasive alien species threats,IPBES_IAS_6_21_146_61,trends in adoption of multinational agreements to reduce invasive alien species threats
 Trends in invasive alien species relevant submissions to managers,IPBES_IAS_6_21_146_62,trends in invasive alien species relevant submissions to managers
 Trends in invasive alien species eradication at different scales,IPBES_IAS_6_21_146_63,trends in invasive alien species eradication at different scales
number of alien taxa,IPBES_IAS_6_56_150_64,number of alien taxa
 species negatively impacting biodiversity,IPBES_IAS_6_56_150_65,species negatively impacting biodiversity
 Trends in species at risk of localized extinction in a protected area,IPBES_IAS_6_56_150_66,trends in species at risk of localized extinction in a protected area
 extent of which essential policy and management approaches have been adopted,IPBES_IAS_6_56_150_67,extent of which essential policy and management approaches have been adopted
Gross domestic product,IPBES_IAS_6_85_153_68,gross domestic product
 Gross national product,IPBES_IAS_6_85_153_69,gross national product
 Genuine Progress indicator,IPBES_IAS_6_85_153_70,genuine progress indicator
 index of sustainable economic welfare (isew),IPBES_IAS_6_85_153_71,index of sustainable economic welfare (isew)
 Gross National Happiness measure,IPBES_IAS_6_85_153_72,gross national happiness index
Spread of alien species by pathway,IPBES_IAS_6_97_160_73,spread of alien species by pathway
" Impact of alien species on sensitive places, species and functions",IPBES_IAS_6_97_160_74,"impact of alien species on sensitive places, species and functions"
 Interventions to limit spread and reduce impact of alien species,IPBES_IAS_6_97_160_75,interventions to limit spread and reduce impact of alien species
alien species occurrence,IPBES_IAS_6_114_165_76,alien species occurrence
 status of an individual or species as native or alien,IPBES_IAS_6_114_165_77,status of an individual or species as native or alien
 invasive alien species impact,IPBES_IAS_6_114_165_78,invasive alien species impact
Rate of invasive alien species establishment,IPBES_IAS_6_119_173_79,rate of invasive alien species establishment
Trends in pathways of introduction and spread,IPBES_IAS_6_119_174_80,trends in pathways of introduction and spread
 Trends in numbers and spatial distribution of invasive alien species and their impacts,IPBES_IAS_6_119_174_81,trends in numbers and spatial distribution of invasive alien species and their impacts
" Trends, mechanisms and severity of invasive alien species impacts",IPBES_IAS_6_119_174_82,"trends, mechanisms and severity of invasive alien species impacts"
 Trends in the allocation of resources towards the prevention or control of invasive alien species,IPBES_IAS_6_119_174_83,trends in the allocation of resources towards the prevention or control of invasive alien species
 Trends in establishments and national adoption of international agreements relevant to the prevention and control of invasive alien species,IPBES_IAS_6_119_174_84,trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species
 Trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,IPBES_IAS_6_119_174_85,trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species
 Trends in the prevention and eradication and control of invasive alien species,IPBES_IAS_6_119_174_86,trends in the prevention and eradication and control of invasive alien species
 Growth in information relevant to informing policy on invasive alien species prevention and control,IPBES_IAS_6_119_174_87,growth in information relevant to informing policy on invasive alien species prevention and control
 Trends in successful eradications of invasive alien species,IPBES_IAS_6_119_174_88,trends in successful eradications of invasive alien species
 Improvement in conseration status of species threatened by invasive alien species,IPBES_IAS_6_119_174_89,improvement in conseration status of species threatened by invasive alien species
Antarctic ice cores,IPCC_1_13_4_1,antarctic ice cores
 direct CO2 air measurements,IPCC_1_13_4_2,direct co2 air measurements
 Global Precipitation Climatology Centre (GPCC) V8,IPCC_1_13_4_3,global precipitation climatology centre (gpcc) v8
 glacier mass loss,IPCC_1_13_4_4,glacier mass loss
 global surface air temperature (GMST),IPCC_1_13_4_5,global mean surface temperature (gmst)
 sea level change,IPCC_1_13_4_6,sea level change
 ocean heat content,IPCC_1_13_4_7,ocean heat content
atmospheric CO2 concentrations,IPCC_1_16_6_8,atmospheric co2 concentrations
 global mean surface temperature (GMST),IPCC_1_16_6_9,global mean surface temperature (gmst)
 global mean sea level (GMSL),IPCC_1_16_6_10,global mean sea level (gmsl)
pH of ocean surface water,IPCC_1_32_16_11,ph of ocean surface water
global energy budget,IPCC_1_38_17_12,global energy budget
simulated Global mean surface air temperature (GSAT),IPCC_1_45_19_13,simulated global mean surface air temperature (gsat)
 simulated Global mean surface air temperature (GSAT) anomalies,IPCC_1_45_19_14,simulated global mean surface air temperature (gsat) anomalies
