indicator_harmonized,indic_ids,geo_extracted
ratio of land consumption rate to urban population growth rate at comparable scale,GEO_15_21_173,1
recommended intake values for the food groups,GEO_17_12_206,1
red list index,GEO_6_15_50;GEO_6_16_54,1
red list index (for utilized species),GEO_13_18_136,1
red list of ecosystems,GEO_14_16_157,1
regional seas and action plans,GEO_14_15_152,1
resources per capita invested in human settlement per km2,GEO_15_21_173,1
road construction,GEO_6_8_49,1
safe level of annual average pm exposure,GEO_5_19_45,1
sanitation and hygiene,GEO_20_7_232,1
sea level,GEO_2_26_7,1
sea level rise,GEO_4_13_34,1
sea surface air temperature,GEO_2_26_7,1
sea surface temperature (sst),GEO_2_26_7,1
sex-disaggregated burden-of-disease data,GEO_3_10_20,1
share of low-carbon options,GEO_22_12_256,1
shrinking of the arctic ice cover,GEO_2_26_7,1
smoking,GEO_21_17_251,1
so2 emissions,GEO_12_16_119,1
societal behaviour,GEO_17_20_212;GEO_17_22_214,1
soil carbon sequestration,GEO_15_18_165,1
soil organic carbon (soc) stocks,GEO_20_8_234,1
species abundance,GEO_6_16_54,1
species dispersal ability,GEO_21_11_248,1
specific humidity,GEO_2_26_7,1
stock status,GEO_14_16_156,1
stranded debris,GEO_14_15_154,1
summer arctic sea ice extent,GEO_2_26_7,1
sustainability and nutrient efficiency of national dietary outcomes,GEO_17_11_203,1
sustainability and/or environmental themes as one of the general goals of education,GEO_4_9_33,1
sustainable fishing practices,GEO_17_8_200,1
sustainable resource management,GEO_17_20_212,1
total gobal population living in water scarce areas,GEO_20_8_234,1
toxocological potential of nanoparticals,GEO_4_15_36,1
tropospheric temperature,GEO_2_26_7;GEO_2_26_7,1
under-five child mortality rate,GEO_20_6_228;GEO_21_17_252;GEO_21_18_253,1
underweight children,GEO_3_12_24,1
united nations framework convention on climate change,GEO_20_8_233,1
universal female education,GEO_22_21_257,1
urban growth,GEO_6_8_49,1
us national ambient air quality standards,GEO_12_12_111,1
volatile organic compounds emissions,GEO_20_6_228,1
wastewater treatment,GEO_23_24_263,1
water infrastructure,GEO_9_18_80,1
water- saving devices,GEO_17_8_200,1
wetland area index,GEO_9_16_77,1
willingness-to-participate,GEO_14_7_145,1
women and girl’s education,GEO_22_21_257,1
"years of healthy life lost from heart disease, stroke, lung cancer, chronic lung disease and respiratory infections",GEO_5_19_45,1
yield (improvement),GEO_23_24_262,1
zoonotic disease,GEO_3_5_16,1
