indicator_harmonized,indic_ids,ipbes_extracted
national accounts reflecting state of biodiversity and ecosystem services,IPBES_VA_4_28_109,1
national funding for resourcing of biological invasions policy and management implementation,IPBES_IAS_6_17_143,1
native newcomer species arrive,IPBES_GA_2.2_5_55;IPBES_GA_2.2_65_113,1
natural habitat in agriculture,IPBES_GA_2.3_42_143,1
natural medicinal products and manufactured bio-derived medicines,IPBES_GA_2.3_42_143,1
nature risk index,IPBES_VA_6_64_156,1
net primary production,IPBES_GA_2.2_37_70;IPBES_GA_2.2_70_120,1
net primary productivity in forests and on cultivated land,IPBES_GA_2.3_39_137,1
new pests and invasive alien species colonize,IPBES_GA_2.2_5_55,1
nitrogen (n) loads,IPBES_GA_3_74_399,1
nitrogen + phosphate fertilizers (n+p205 total nutrients),IPBES_GA_1_52_19,1
nitrogen use balance,IPBES_GA_1_52_19,1
nitrogen use efficiency,IPBES_GA_1_52_19,1
non declining exploited species,IPBES_GA_1_52_19,1
number and coverage of stocks with adaptive management systems/plans,IPBES_GA_1_52_19,1
number of alien and invasive taxa per biogeographic region,IPBES_IAS_6_21_146,1
number of alien taxa,IPBES_IAS_6_56_150,1
number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,IPBES_SUA_4_66_123,1
number of biogeographic regions with risk-associated activities,IPBES_IAS_6_21_146,1
number of cites parties that have adopted standard procedures for non-detrimental findings,IPBES_SUA_4_65_122,1
number of cites parties with increased capacity,IPBES_SUA_4_68_125,1
"number of countries implementing natural resource accounts, excluding energy, within the system of environmental economic accounting",IPBES_VA_4_28_108,1
number of countries implementing nbsaps,IPBES_GA_3_48_377,1
number of countries implementing the system of environmental economic accounting,IPBES_VA_4_73_122,1
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",IPBES_GA_1_52_19,1
"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",IPBES_VA_4_73_122,1
number of countries that have ratified the nagoya protocol,IPBES_GA_3_175_446,1
number of countries with developed or revised nbsaps,IPBES_GA_1_52_19,1
"number of countries with national instruments on biodiversity relevant taxes, charges and fees",IPBES_GA_1_52_19,1
number of countries with national instruments on biodiversity relevant tradable permit schemes,IPBES_GA_1_52_19,1
number of countries with national instruments on redd plus schemes,IPBES_GA_1_52_19,1
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,IPBES_SUA_2_90_65,1
number of countries with regulations requiring recovered of depleted species,IPBES_SUA_2_90_65,1
number of extintions,IPBES_GA_3_40_367,1
number of invasive alien species introduction events,IPBES_GA_3_72_395,1
number of people migrating,IPBES_IAS_2_5_11,1
number of photos taken by the public in an advert to indicate aesthetic values,IPBES_VA_3_48_73,1
number of protected area management effectiveness (pame) assessments,IPBES_GA_3_72_395;IPBES_VA_3_27_60,1
number of publications,IPBES_SUA_4_2_109,1
number of rare or threatened species,IPBES_VA_2_38_28,1
number of research studies involving economic valuation,IPBES_GA_3_15_329,1
number of species at risk of extinction,IPBES_IAS_4_22_102,1
number of species extinctions,IPBES_GA_1_52_19;IPBES_IAS_4_22_102,1
number of studies on ias available per region,IPBES_IAS_2_13_15,1
number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,IPBES_SUA_4_65_122,1
number of tourists,IPBES_IAS_2_5_11,1
"number of tourists, scientists and facilities per biogeographic region",IPBES_IAS_6_21_146,1
number of widespread phyla for which no information was available for a particular region,IPBES_IAS_2_13_16,1
number of wildlife pictures posted on a photo-sharing website,IPBES_VA_3_48_73,1
number of world natural heritage sites per country per year,IPBES_GA_1_52_19,1
numbers of scientific publications on biodiversity,IPBES_GA_3_49_379,1
ocean health index,IPBES_GA_2.2_38_74;IPBES_GA_4_155_228;IPBES_GA_6_86_279,1
oceanic carbon sequestration,IPBES_GA_2.2_37_70,1
oecd better life index,IPBES_GA_4_131_209,1
official development assistance provided in support of the cbd objectives,IPBES_GA_3_51_381,1
online interest in biodiversity (proportion of google searches),IPBES_GA_3_15_329,1
opening up of forest canopy,IPBES_GA_2.2_65_113,1
organisms` size or growth,IPBES_GA_4_34_176,1
overall species abundance,IPBES_GA_1_52_19,1
overexploitation of resources by outsiders and locals,IPBES_GA_2.2_6_56,1
passenger and freight volumes by mode of transport,IPBES_GA_3_128_421,1
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,IPBES_VA_3_2_52,1
per capita consumption,IPBES_GA_2_22_28,1
percentage of abroad land use footprint,IPBES_GA_2_118_47,1
percentage of agricultural and urban areas,IPBES_GA_2_118_47,1
percentage of countries that are category 1 cites parties,IPBES_GA_1_52_19;IPBES_GA_3_15_329,1
percentage of countries with invasive alien species legislation,IPBES_GA_3_72_395,1
percentage of freshwater key biodiversity areas covered by protected areas,IPBES_GA_3_72_395,1
percentage of live coral cover,IPBES_GA_2.2_70_120;IPBES_GA_3_34_361,1
percentage of marine key biodiversity areas covered by protected areas,IPBES_GA_3_72_395,1
percentage of population living in dense urban areas,IPBES_GA_2.3_50_149,1
percentage of population using safely managed drinking water services,IPBES_GA_1_52_19,1
percentage of terrestrial ecoregions covered by protected areas,IPBES_GA_3_72_395;IPBES_GA_3_72_395,1
percentage of undernourished people,IPBES_GA_1_52_19,1
permanent surface water extent,IPBES_GA_2.2_37_70,1
"pest, invasive or harmful species",IPBES_GA_4_34_176,1
pesticide use,IPBES_GA_3_51_381;IPBES_GA_3_54_387,1
phenology of economically and/or culturally important wild plant and animal species,IPBES_GA_2.3_40_140,1
phosphorus (p) loads,IPBES_GA_3_74_399,1
photo series analysis using social media,IPBES_VA_3_48_73,1
photo-rankings,IPBES_VA_2_38_28,1
phylogenetic distance,IPBES_IAS_3_84_95,1
phylogenetic diversity,IPBES_GA_2.3_42_143,1
planetary pressures adjusted human development index (hdi),IPBES_VA_2_38_29,1
policies make adequate provisions to minimize impacts of fisheries on threatened species,IPBES_GA_1_52_19,1
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,IPBES_GA_1_52_19,1
pollen deposition,IPBES_GA_2.3_42_143,1
pollinator diversity,IPBES_GA_2.3_2_125;IPBES_GA_2.3_42_143,1
population extinctions,IPBES_GA_2.3_75_161,1
