Indicators harmonized,Sources,Elements,Subelements,Frequency of use,MEA/assess,Indicators original name,Elements_2,Subelements_2
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),GEO,Direct drivers,Pollution,1,assessment,Anthropogenic emissions of long-lived greenhouse gases (CO2 equivalents),,
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),GEO,Direct drivers,Pollution,1,assessment,anthropogenic emissions of long-lived greenhouse gases (GHG emissions),,
antimicrobial resistence in pathogens,GEO,biodiversity,State of biodiversity,1,assessment,antimicrobial resistence in pathogens,,
appearance of new grass in grazing areas,IPBES,Knowledge systems,ILK,1,assessment,appearance of new grass in grazing areas,,
arctic sea ice area,IPCC,ecosystems,State of ecosystems,1,assessment,Arctic sea ice area (SIA); aRCTIC SEA ICE AREA,,
arctic species trend index,IPBES;GEO,biodiversity,Change in biodiversity,2,assessment,Arctic Species Trend INDEX; Arctic Species Trend Index,,
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",IPBES,Knowledge systems,Specific information on ILK and IPLC,1,assessment,"Area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",Knowledge systems,Specific information on human-nature relationship
area and percent of forests used for subsistence purposes,IPBES,Ecosystem services,Nature contribution,1,assessment,Area and percent of forests used for subsistence purposes,,
area of agricultural land under conservation,IPBES,ecosystems,Area conservation,1,assessment,Areas of agricultural land under convervation agriculture; Area of agricultural land under conservation; Area of agricultural land under conservation agriculture (thousand ha),Direct drivers,Land conversion
area of agricultural land under organic production,IPBES,Direct drivers,Land conversion,1,assessment,Area of agricultural land under organic production; agricultural organic area; Area of agricultural land under organic production (million ha),Ecosystem services,Nature contribution
area of floodplain wetlands,IPBES,ecosystems,State of ecosystems,1,assessment,Area of Floodplain Wetlands,,
area of forest under sustainable management,GBF;IPBES,Ecosystem services,Specific mention of sustainable use of species/ecosystems,2,both,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification; Area of forest under sustainable management: total FSC and PEFC forest management certification (million ha); Area of forest under sustainable management: total FSC and PEFC forest management certification (million ha)†,ecosystems,Area conservation
area of natural and traditional landscapes and seascapes,IPBES,ecosystems,State of ecosystems,1,assessment,Area of natural and traditional landscapes and seascapes,,
area under restoration,GBF,ecosystems,Restoration efforts,1,mea,Area under restoration,,
areas below calcium carbonate saturation thresholds,IPCC,ecosystems,Abiotic conditions,1,assessment,Areas below calcium carbonate saturation thresholds,,
arrival of new native and alien species,IPBES,Direct drivers,Invasive alien species,1,assessment,arrival of new native and alien species,,
associated species,IPBES,Knowledge systems,ILK,1,assessment,associated species,biodiversity,State of biodiversity
atlantic meridional overturning circulation (amoc),IPCC,ecosystems,Abiotic conditions,1,assessment,Atlantic Meridional Overturning Circulation (AMOC); the Atlantic Meridional Overturning Circulation (AMOC),,
atlantic multi-decadal variability (amv) index,IPCC,ecosystems,Abiotic conditions,1,assessment,Atlantic Multi-decadal Variability (AMV) Index; Atlantic Multi-decadal Variability (AMV); Atlantic Multi-decadal Variability AMV,,
atmosphere-land co2 fluxes,IPCC,ecosystems,Abiotic conditions,1,assessment,atmosphere-land CO2 fluxes,,
atmospheric co2 concentrations,IPCC,ecosystems,Abiotic conditions,1,assessment,atmospheric CO2 concentrations; Atmospheric concentrations; Atmospheric CO2 concentrations; atmospheric CO2 concentration,,
atmospheric dust deposition,IPCC,Direct drivers,Pollution,1,assessment,atmospheric dust deposition,,
