Indicators harmonized,Sources,Elements,Subelements,Frequency of use,MEA/assess,Indicators original name,Elements_2,Subelements_2
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",SDG;IPBES,Governance,Nature-based legislation,2,both,"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources",,
number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,SDG;IPBES,Governance,Nature-based legislation,2,both,Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,,
"number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",GBF,Human well-being,Equity,1,mea,"Number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",,
"number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production",GBF,Governance,Nature-based legislation,1,mea,"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production.",,
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",SDG,Human well-being,Equity,1,mea,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",,
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",SDG;IPBES,Governance,National/international cooperation,2,both,"Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",,
number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030,GBF;SDG;IPBES,Governance,Nature-based legislation,3,both,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity; Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,,
number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,GBF,Governance,Nature-based legislation,1,mea,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,Knowledge systems,Information on society and socio-economics
number of countries that establish and implement risk management measures,GBF,Governance,Nature-based legislation,1,mea,Number of countries that establish and implement risk management measures,,
"number of countries that have (a) assessed values of biodiversity, in accordance with the convention, (b) identified and reported funding needs, gaps and priorities (c)developed national financial plans for biodiversity; (d) been provided with the necessary funding and capacity building to undertake the above activities",GBF,Governance,National/international cooperation,1,mea,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities",Knowledge systems,Specific information on human-nature relationship
"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",GBF;SDG;IPBES,Human well-being,Equity,3,both,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",,
number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,SDG;IPBES,Governance,Nature-based legislation,2,both,Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,,
"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (seea)",IPBES,Governance,Nature-based legislation,1,assessment,"number of countries that have integrated biodiversity values into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting (SEEA)",,
number of countries that have national statistical legislation that complies with the fundamental principles of official statistics,SDG;IPBES,Governance,Legislation/governance,2,both,Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics,,
number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,SDG;IPBES,Governance,Legislation/governance,2,both,Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,,
number of countries that have ratified the nagoya protocol,IPBES,Governance,Nature-based legislation,1,assessment,number of countries that have ratified the Nagoya Protocol,,
number of countries that have taken action to implement biosafety measures as set out in article 8(g) of the convention and measures for the handling of biotechnology and the distribution of its benefits as set out in article 19,GBF,Governance,Nature-based legislation,1,mea,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.,,
"number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",GBF,Governance,National/international cooperation,1,mea,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",biodiversity,Genetic resources
"number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation",GBF,Governance,National/international cooperation,1,mea,"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation.",Knowledge systems,Information on society and socio-economics
number of countries that have the necessary biosafety legal and administrative measures in place,GBF,Governance,Nature-based legislation,1,mea,Number of countries that have the necessary biosafety legal and administrative measures in place,,
number of countries that have the necessary measures and means for detection and identification of products of biotechnology,GBF,Governance,Nature-based legislation,1,mea,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,,
number of countries that implement their biosafety measures,GBF,Governance,Nature-based legislation,1,mea,Number of countries that implement their biosafety measures,,
number of countries that require prior informed consent that have published information on abs procedures in the abs clearing-house,GBF,Governance,Nature-based legislation,1,mea,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,,
"number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the abs clearing-house",GBF,Governance,Nature-based legislation,1,mea,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House",,
number of countries using ecosystem-based approaches to managing marine areas,SDG;IPBES,Governance,Nature-based legislation,2,both,Number of countries using ecosystem-based approaches to managing marine areas,,
number of countries using natural capital accounts in planning processes,GBF,Governance,Nature-based funding,1,mea,Number of countries using natural capital accounts in planning processes,,
number of countries using ocean accounts in planning processes,GBF,Governance,Nature-based funding,1,mea,Number of countries using ocean accounts in planning processes,,
"number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change",GBF,Governance,Nature-based legislation,1,mea,"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change.",biodiversity,Species conservation
number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,GBF,Human well-being,Equity,1,mea,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,Governance,Legislation/governance
"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",SDG;IPBES,Governance,Legislation/governance,2,both,"Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",,
number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity,GBF,Governance,Nature-based legislation,1,mea,Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.,Direct drivers,Climate change
number of countries with biodiversity relevant charges and fees,GBF,Governance,Nature-based funding,1,mea,Number of countries with biodiversity-relevant charges and fees,,
number of countries with biodiversity relevant taxes,GBF,Governance,Nature-based funding,1,mea,Number of countries with biodiversity-relevant taxes,,
number of countries with biodiversity relevant tradable permit schemes,GBF,Governance,Nature-based legislation,1,mea,Number of countries with biodiversity-relevant tradable permit schemes,,
number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces,GBF,Governance,Nature-based legislation,1,mea,Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.,ecosystems,Restoration efforts
number of countries with developed or revised nbsaps,IPBES,Governance,Nature-based legislation,1,assessment,Number of countries with developed or revised NBSAPs,,
number of countries with implementation of the system of environmental economic accounting,GBF,Governance,Nature-based funding,1,mea,Number of countries with Implementation of the System of Environmental Economic Accounting,,
"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",SDG,Human well-being,Equity,1,mea,"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",,
number of countries with legal and technical measures for restoration and compensation,GBF,Governance,Nature-based funding,1,mea,Number of countries with legal and technical measures for restoration and compensation,,
"number of countries with legal, administrative or policy frameworks, including the gender plan of action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the convention, including by ensuring women’s equal rights and access to land and natural resources",GBF,Governance,National/international cooperation,1,mea,"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources.",Governance,Nature-based legislation
number of countries with mechanisms in place to enhance policy coherence of sustainable development,SDG;IPBES,Governance,Nature-based legislation,2,both,Number of countries with mechanisms in place to enhance policy coherence of sustainable development,,
number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,GBF,Governance,Nature-based legislation,1,mea,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,,
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",IPBES,Human well-being,Equity,1,assessment,"Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",,
"number of countries with national instruments on biodiversity relevant taxes, charges and fees",IPBES,Governance,Nature-based legislation,1,assessment,"Number of countries with national instruments on biodiversity-relevant taxes, charges and fees",,
number of countries with national instruments on biodiversity relevant tradable permit schemes,IPBES,Governance,Nature-based legislation,1,assessment,Number of countries with national instruments on biodiversity relevant tradable permit schemes,,
number of countries with national instruments on redd plus schemes,IPBES,Governance,Nature-based legislation,1,assessment,Number of countries with national instruments on REDD plus schemes,,
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",SDG;IPBES,Governance,Nature-based legislation,2,both,"Number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the United Nations Framework Convention on Climate Change; Number of countries with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",,
"number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",GBF,Governance,Nature-based legislation,1,mea,"Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",Ecosystem services,Specific mention of sustainable use of species/ecosystems
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,IPBES,Governance,Nature-based legislation,1,assessment,number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,Ecosystem services,Specific mention of sustainable use of species/ecosystems
number of countries with regulations requiring recovered of depleted species,IPBES,Governance,Nature-based legislation,1,assessment,number of countries with regulations requiring recovered of depleted species,,
number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF,Human well-being,Equity,1,mea,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,,
number of days with snow water equivalent >100 mm (swe100) over the snow season (nov-mar for nh),IPCC,ecosystems,Abiotic conditions,1,assessment,Number of days with snow water equivalent >100 mm (SWE100) over the snow season (Nov–Mar for NH),Direct drivers,Climate change
"number of days with tmax >35°c or 40°c (tx35, tx40)",IPCC,ecosystems,Abiotic conditions,1,assessment,"Number of days with Tmax >35°C or 40°C (TX35, TX40)",Direct drivers,Climate change
"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF;SDG;IPBES,Direct drivers,Natural drivers,3,both,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,
"number of disruptions to basic services, attributed to disasters",SDG,Knowledge systems,Information on society and socio-economics,1,mea,"number of disruptions to basic services, attributed to disasters",,
number of events submitted to the world wildlife day website,CITES,Knowledge systems,Specific information on human-nature relationship,1,mea,Number of events submitted to the World Wildlife Day website.,,
number of extintions,IPBES,biodiversity,Change in biodiversity,1,assessment,number of extintions,,
number of followers on cites social media platforms,CITES,Knowledge systems,Specific information on human-nature relationship,1,mea,Number of followers on CITES social media platforms.,,
number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,GBF,Human well-being,Cultural diversity,1,mea,Number of formal and nonformal education programmes transmitting spiritual and cultural values in the UNESCO World Network of Biosphere Reserves,Knowledge systems,Information on society and socio-economics
number of frost days below 0°c (fd),IPCC,ecosystems,Abiotic conditions,1,assessment,Number of frost days below 0°C (FD),Direct drivers,Climate change
number of frost days: annual count of days when tn (daily minimum temperature) <0°c,IPCC,ecosystems,Abiotic conditions,1,assessment,Number of frost days: annual count of days when TN (daily minimum temperature) <0°C,Direct drivers,Climate change
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),GBF,ecosystems,Area conservation,1,mea,Number of hectares of UNESCO designated sites (natural and mixed World Heritage sites and Biosphere Reserves),,
number of icing days: annual count of days when tx (daily maximum temperature) <0°c,IPCC,ecosystems,Abiotic conditions,1,assessment,Number of icing days: annual count of days when TX (daily maximum temperature) <0°C,Direct drivers,Climate change
"number of implemented cooperation agreements between the secretariat and multilateral environmental agreements (meas), including the biodiversity liaison group (blg) and other biodiversity-related conventions",CITES,Governance,National/international cooperation,1,mea,"Number of implemented cooperation agreements between the Secretariat and Multilateral Environmental Agreements (MEAS), including the Biodiversity Liaison Group (BLG) and other biodiversity-related Conventions.",,
number of internationally recognized certificates of compliance for non-commercial purposes,GBF,Governance,National/international cooperation,1,mea,Number of internationally recognized certificates of compliance for non-commercial purposes,,
number of internet references to the ramsar convention,RAMSAR,Knowledge systems,Specific information on human-nature relationship,1,mea,Number of internet references to the Ramsar Convention. (Data source: internet analysis).,,
number of internet references to world wetland day activities,RAMSAR,Knowledge systems,Specific information on human-nature relationship,1,mea,Number of internet references to World Wetland Day activities. (Data source: internet analysis).,,
number of invasive alien species in national lists as per the global register of introduced and invasive species,GBF,Direct drivers,Invasive alien species,1,mea,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,Knowledge systems,Information on biodiversity
number of invasive alien species introduction events,GBF;IPBES,Direct drivers,Invasive alien species,2,both,Number of invasive alien species introduction events; Number of invasive alien species introductions,,
number of invasive species that are being controlled through management actions,RAMSAR,Direct drivers,Invasive alien species,1,mea,Number of invasive species that are being controlled through management actions,biodiversity,Species conservation
"number of key identified hashtags (e.g. #cites, #citescop19 #worldwildlifeday, etc.) on cites social media",CITES,Knowledge systems,Specific information on human-nature relationship,1,mea,"Number of key identified hashtags (e.g. #cites, #citescop19 #worldwildlifeday, etc.) on CITES social media.",,
"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",GBF;SDG;IPBES,Governance,Nature-based legislation,3,both,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications; Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the United Nations Framework Convention on Climate Change",,
number of meetings/cop where representatives of other international bodies report on relevant activities to cites parties,CITES,Governance,National/international cooperation,1,mea,Number of meetings/CoP where representatives of other international bodies report on relevant activities to CITES Parties.,,
"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",GBF,Human well-being,Cultural diversity,1,mea,"Number of mixed sites (having both natural and cultural Outstanding Universal Values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the UNESCO World Heritage List and UNESCO World Network of Biosphere Reserves",Knowledge systems,ILK
number of msc chain of custody certification holders by distribution country,GBF,Ecosystem services,Specific mention of sustainable use of species/ecosystems,1,mea,Number of MSC Chain of Custody Certification holders by distribution country,,
"number of new hiv infections per 1,000 uninfected population, by sex, age and key populations",SDG,Human assets,Coverage of basic needs,1,mea,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",Direct drivers,(Infectious) diseases
"number of new, unique visits to the cites website",CITES,Knowledge systems,Specific information on human-nature relationship,1,mea,"Number of new, unique visits to the CITES website.",,
number of notifications to the parties issued by the cites secretariat relating to international actions for sustainable development that may have a bearing on achieving the goal of cites,CITES,Governance,National/international cooperation,1,mea,Number of Notifications to the Parties issued by the CITES Secretariat relating to international actions for sustainable development that may have a bearing on achieving the goal of CITES.,Ecosystem services,Specific mention of sustainable use of species/ecosystems
number of parties cooperating / collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,CITES,Governance,National/international cooperation,1,mea,Number of Parties cooperating / collaborating with intergovernmental and non-governmental organizations to participate in and/or fund CITES workshops and other training and capacity-building activities.,,
number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,CITES,Governance,Nature-based funding,1,mea,Number of Parties funded by international financial mechanisms and other related institutions to develop activities that include CITES-related conservation and sustainable development elements.,,
"number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap), also included in the global and national strategies for plant conservation under cbd programme",CITES,Governance,National/international cooperation,1,mea,"Number of Parties incorporating CITES into their National Biodiversity Strategy and Action Plan (NBSAP), also included in the global and national Strategies for Plant Conservation under CBD programme.",,
number of parties making use of the simplified procedures provided for in resolution conf. 12.3 (rev. cop19),CITES,Governance,National/international cooperation,1,mea,Number of Parties making use of the simplified procedures provided for in Resolution Conf. 12.3 (Rev. CoP19).,,
number of parties meeting their obligations with regard to their assessed contributions to the trust fund,CITES,Governance,National/international cooperation,1,mea,Number of Parties meeting their obligations with regard to their assessed contributions to the Trust Fund.,,
number of parties reporting in implementation reports of activities taken to address corruption,CITES,Governance,Broken governance,1,mea,Number of Parties reporting in implementation reports of activities taken to address corruption.,,
"number of parties sharing information relevant to the implementation of cites (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.)",CITES,Governance,National/international cooperation,1,mea,"Number of Parties sharing information relevant to the implementation of CITES (e.g. shared databases, data visualization/software, information-sharing focused tools, etc.).",,
number of parties subject to cites recommendations to suspend trade,CITES,Governance,Nature-based legislation,1,mea,Number of Parties subject to CITES recommendations to suspend trade.,,
number of parties that are in category 1 under the national legislation project,CITES,Governance,Nature-based legislation,1,mea,Number of Parties that are in category 1 under the national legislation project.,,
number of parties that currently lack information for their identified key species most relevant to the implementation of the convention and need assistance to address them,CITES,Governance,Nature-based legislation,1,mea,Number of Parties that currently lack information for their identified key species most relevant to the implementation of the Convention and need assistance to address them.,Knowledge systems,Information on biodiversity
number of parties that have adopted an electronic system for the issuance of permits,CITES,Governance,Legislation/governance,1,mea,Number of Parties that have adopted an electronic system for the issuance of permits,,
number of parties that have adopted standard procedures for making non-detriment findings (ndfs),CITES,Governance,Nature-based legislation,1,mea,Number of Parties that have adopted standard procedures for making non-detriment findings (NDFs).,,
number of parties that have adopted standard transparent procedures for the timely issuance of permits in accordance with article vi of the convention,CITES,Governance,Nature-based legislation,1,mea,Number of Parties that have adopted standard transparent procedures for the timely issuance of permits in accordance with Article VI of the Convention.,,
"number of parties that have designated at least one management authority, independent scientific authority and enforcement focal points in place",CITES,Governance,Nature-based legislation,1,mea,"Number of Parties that have designated at least one Management Authority, independent Scientific Authority and enforcement focal points in place.",Knowledge systems,Information on society and socio-economics
number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,CITES,Governance,Nature-based legislation,1,mea,Number of Parties that have implemented relevant reporting under Resolutions and Decisions of the Conference of the Parties and/or Standing Committee recommendations.,,
"number of parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by resolution conf. 18.7 (rev. cop19)",CITES,Governance,Nature-based legislation,1,mea,"Number of Parties that have included the legal acquisition finding obligation in their national regulatory framework, as recommended by Resolution Conf. 18.7 (Rev. CoP19).",,
number of parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the convention,CITES,Governance,Nature-based legislation,1,mea,Number of Parties that have undertaken research (including for non-detriment findings) on their identified key species most relevant to the implementation of the Convention.,Knowledge systems,Information on society and socio-economics
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",SDG,Governance,Nature-based legislation,1,mea,"Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",,
number of parties where criminal offences relating to illegal trade in wildlife (such as illegal hunting/harvest and wildlife trafficking) are recognized as a serious crime,CITES,Governance,Broken governance,1,mea,Number of Parties where criminal offences relating to illegal trade in wildlife (such as illegal hunting/harvest and wildlife trafficking) are recognized as a serious crime.,,
number of parties which have acceded to the ramsar convention,RAMSAR,Governance,National/international cooperation,1,mea,Number of Parties which have acceded to the Ramsar Convention. (Data Source: National Reports).,,
"number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",CITES,Governance,National/international cooperation,1,mea,"Number of Parties which report that they have achieved synergies in their implementation of CITES, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements.",,
number of parties who report improvements in their implementation following targeted capacity-building efforts,CITES,Governance,National/international cooperation,1,mea,Number of Parties who report improvements in their implementation following targeted capacity-building efforts.,,
number of parties with information on cites and its requirements on their official websites,CITES,Knowledge systems,Specific information on human-nature relationship,1,mea,Number of Parties with information on CITES and its requirements on their official websites.,,
"number of parties with training programmes and information resources in place to implement cites, including the making of non-detriment and legal acquisition findings, issuance of permits and enforcement",CITES,Governance,National/international cooperation,1,mea,"Number of Parties with training programmes and information resources in place to implement CITES, including the making of non-detriment and legal acquisition findings, issuance of permits and enforcement.",,
number of people living on less than 1.90 usd per day,GEO,Human assets,State of economy,1,assessment,number of people living on less than 1.90 USD per day,,
number of people migrating,IPBES,Knowledge systems,Information on society and socio-economics,1,assessment,Number of people migrating,,
number of people requiring interventions against neglected tropical diseases,SDG,Human well-being,Healthy living conditions,1,mea,Number of people requiring interventions against neglected tropical diseases,Direct drivers,(Infectious) diseases
"number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",GBF,Human assets,Infrastructure (build-up area),1,mea,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",Ecosystem services,Specific mention of sustainable use of species/ecosystems
number of people who died or disappeared in the process of migration towards an international destination,SDG,Governance,Broken governance,1,mea,Number of people who died or disappeared in the process of migration towards an international destination,,
number of people who died or disappeared in the process of migration towards an international destinationi,IPBES,Governance,Broken governance,1,assessment,Number of people who died or disappeared in the process of migration towards an international destinationi,,
number of people without access to safe sanitation services,GEO,Human well-being,Healthy living conditions,1,assessment,number of people without access to safe sanitation services,,
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF,biodiversity,Genetic resources,1,mea,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,,
number of photos taken by the public in an advert to indicate aesthetic values,IPBES,Ecosystem services,Nature contribution,1,assessment,number of photos taken by the public in an advert to indicate aesthetic values,,
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF;IPBES,biodiversity,Genetic resources,2,both,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities; Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,,
number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF;IPBES,biodiversity,Genetic resources,2,both,Number of plant and animal genetic resources secured in medium or long-term conservation facilities; Number of plant genetic resources for food and agriculture secured in conservation facilities,,
"number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either strp, parties and others, and is available via the ramsar website",RAMSAR,Governance,National/international cooperation,1,mea,"Number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either STRP, Parties and others, and is available via the Ramsar website. (Data source: Ramsar web-site).",Knowledge systems,Information on society and socio-economics
number of protected area management effectiveness (pame) assessments,IPBES,ecosystems,Area conservation,1,assessment,Number of protected area management effectiveness assessments; management effectiveness in National Protected Areas; Number of protected area management effectiveness assessments†,,
number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF,ecosystems,Area conservation,1,mea,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),,
number of publications,IPBES,Knowledge systems,Information on biodiversity,1,assessment,number of publications,,
number of ramsar sites designated for the following under represented wetland types: karst and other subterranean hydrological systems; coral reefs; wet grasslands; peatland; sea-grass beds; mangroves; temporary pools; bivalve (shellfish) reefs,RAMSAR,Governance,National/international cooperation,1,mea,Number of Ramsar Sites designated for the following under represented wetland types: Karst and other subterranean hydrological systems; Coral reefs; Wet grasslands; Peatland; Sea-grass beds; Mangroves; Temporary Pools; Bivalve (shellfish) reefs (Data source: Ramsar Sites database),,
number of ramsar sites removed from the montreux record,RAMSAR,ecosystems,State of ecosystems (integrity),1,mea,Number of Ramsar Sites removed from the Montreux Record. (Data source: Ramsar Site database).,,
number of ramsar sites reported by parties to the ramsar secretariat of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR,Governance,National/international cooperation,1,mea,Number of Ramsar Sites reported by Parties to the Ramsar Secretariat of negative human-induced change or likely change in the ecological character of Ramsar Sites pursuant to Article 3.2. (Data source: National Reports).,ecosystems,State of ecosystems (integrity)
number of ramsar sites that have been designated,RAMSAR,Governance,National/international cooperation,1,mea,Number of Ramsar sites that have been designated. (Data source: Ramsar Sites database).,,
"number of ramsar sites that have effective, implemented management plans",RAMSAR,ecosystems,Area conservation,1,mea,"Number of Ramsar Sites that have effective, implemented management plans. (Data source: National Report).; Number of Ramsar Sites that have effective, implemented management planning. (Data source: new National Report question).",Governance,National/international cooperation
number of rare or threatened species,IPBES,biodiversity,State of biodiversity,1,assessment,number of rare or threatened species,,
number of regional initiatives successfully implemented,RAMSAR,Governance,National/international cooperation,1,mea,Number of Regional Initiatives successfully implemented. (Data source: National Reports).,,
number of relevant ramsar handbooks downloaded from the ramsar web-site and subtotals by country and ramsar region of the source of these downloads,RAMSAR,Governance,National/international cooperation,1,mea,Number of relevant Ramsar Handbooks downloaded from the Ramsar web-site and subtotals by country and Ramsar Region of the source of these downloads. (Data source: Ramsar web-site analytics).,,
number of reports shared by the parties in compliance with the resolutions of the convention,CITES,Governance,Nature-based legislation,1,mea,Number of reports shared by the Parties in compliance with the Resolutions of the Convention.,,
