indicator_harmonized,indic_ids,source,Categories,Categories_2,Subcategories,Subcategories_2,policy,mea,assess
antarctic ice cores,IPCC_1_13_4_1,IPCC,ecosystems,Direct drivers,State of ecosystems,Climate change,0,FALSE,TRUE
antarctic ice sheet loss,IPCC_7_55_334_218,IPCC,ecosystems,NA,Change in ecosystems,NA,0,FALSE,TRUE
anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),GEO_12_15_115_103,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
anthropogenic emissions of long-lived greenhouse gases (ghg emissions),GEO_12_18_121_110,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
antimicrobial resistence in pathogens,GEO_4_15_35_43,GEO,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
appearance of new grass in grazing areas,IPBES_VA_3_6_54_43,IPBES,Knowledge systems,NA,ILK,NA,0,FALSE,TRUE
arctic sea ice area,IPCC_4_7_219_169;IPCC_9_37_433_258,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
arctic species trend index,IPBES_GA_3_169_443_503;GEO_6_24_60_81,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
arctic species trend index,IPBES_GA_3_169_443_503;GEO_6_24_60_81,GEO,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",IPBES_SUA_2_92_69_12,IPBES,Knowledge systems,Knowledge systems,Specific information on ILK and IPLC,Specific information on human-nature relationship,0,FALSE,TRUE
area and percent of forests used for subsistence purposes,IPBES_SUA_2_92_69_14,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
area of agricultural land under conservation,IPBES_GA_1_52_19_62;IPBES_GA_3_15_329_431;IPBES_GA3_sup_28,IPBES,ecosystems,Direct drivers,Area conservation,Land conversion,0,FALSE,TRUE
area of agricultural land under organic production,IPBES_GA_3_15_329_430;IPBES_GA2.1_sup_34;IPBES_GA3_sup_27,IPBES,Direct drivers,Ecosystem services,Land conversion,Nature contribution,0,FALSE,TRUE
area of floodplain wetlands,IPBES_GA_2.3_39_137_267,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
area of forest under sustainable management,GBF_T10_C_47;IPBES_GA_3_72_395_477;IPBES_GA3_sup_29,GBF,Ecosystem services,ecosystems,Specific mention of sustainable use of species/ecosystems,Area conservation,1,TRUE,FALSE
area of forest under sustainable management,GBF_T10_C_47;IPBES_GA_3_72_395_477;IPBES_GA3_sup_29,IPBES,Ecosystem services,ecosystems,Specific mention of sustainable use of species/ecosystems,Area conservation,1,FALSE,TRUE
area of natural and traditional landscapes and seascapes,IPBES_GA_2.3_42_143_343,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
area under restoration,GBF_T2_H_17,GBF,ecosystems,NA,Restoration efforts,NA,1,TRUE,FALSE
areas below calcium carbonate saturation thresholds,IPCC_12_24_615_382,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
arrival of new native and alien species,IPBES_GA_2.2_6_56_142,IPBES,Direct drivers,NA,Invasive alien species,NA,0,FALSE,TRUE
associated species,IPBES_SUA_2_96_79_28,IPBES,Knowledge systems,biodiversity,ILK,State of biodiversity,0,FALSE,TRUE
atlantic meridional overturning circulation (amoc),IPCC_2_69_110_112;IPCC_4_8_220_170;IPCC_4_18_229_177,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
atlantic multi-decadal variability (amv) index,IPCC_2_90_158_138;IPCC_3_83_210_164;IPCC_10_58_493_276,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
atmosphere-land co2 fluxes,IPCC_3_64_190_150,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
atmospheric co2 concentrations,IPCC_1_16_6_8;IPCC_1_92_33_39;IPCC_2_81_132_127;IPCC_3_64_190_149,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
atmospheric dust deposition,IPCC_2_43_71_84,IPCC,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
atmospheric evaporative demand (aed),IPCC_11_60_547_310,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
atmospheric internal variability,IPCC_8_88_422_252,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
atmospheric inversions,IPCC_5_40_281_200,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
average conservation status,IPBES_GA_4_158_230_382,IPBES,biodiversity,NA,Species conservation,NA,0,FALSE,TRUE
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG_G8.5.1_105;IPBES_SUA_sup_8.5.1_49,SDG,Human assets,NA,Income,NA,1,TRUE,FALSE
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG_G8.5.1_105;IPBES_SUA_sup_8.5.1_49,IPBES,Human assets,NA,Income,NA,1,FALSE,TRUE
"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,GBF,Human assets,NA,Income,NA,1,TRUE,FALSE
"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,SDG,Human assets,NA,Income,NA,1,TRUE,FALSE
"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,IPBES,Human assets,NA,Income,NA,1,FALSE,TRUE
average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_G14.3.1_186;IPBES_SUA_sup_14.3.1_113,SDG,ecosystems,Direct drivers,State of ecosystems (marine),Climate change,1,TRUE,FALSE
average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_G14.3.1_186;IPBES_SUA_sup_14.3.1_113,IPBES,ecosystems,Direct drivers,State of ecosystems (marine),Climate change,1,FALSE,TRUE
average number of years of schooling,IPBES_GA_2_25_31_102,IPBES,Human assets,NA,Coverage of basic needs,NA,0,FALSE,TRUE
average share of the built-up area of cities that is green/blue space for public use for all,GBF_T12_H_33,GBF,Human well-being,NA,Healthy living conditions,NA,1,TRUE,FALSE
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG_G11.7.1_154,SDG,Human assets,NA,Infrastructure (build-up area),NA,1,TRUE,FALSE
avoided costs from air pollution,IPBES_GA_2.3_42_143_300,IPBES,Governance,Direct drivers,Legislation/governance,Pollution,0,FALSE,TRUE
avoided morbidity and premature mortality from air pollution,IPBES_GA_2.3_42_143_299,IPBES,Human well-being,Direct drivers,Healthy living conditions,Pollution,0,FALSE,TRUE
avoided water treatment costs,IPBES_GA_2.3_42_143_288,IPBES,Human assets,NA,Coverage of basic needs,NA,0,FALSE,TRUE
bare area,IPBES_GA_2.3_39_137_265,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606_368,IPCC,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems,0,FALSE,TRUE
beach litter,GEO_14_14_151_124;GEO_14_15_152_126,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
bedrock topography,IPCC_9_48_440_261,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
beef consumption,GEO_22_8_255_227,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
behavior of animals with importance as food,IPBES_GA_2.3_22_127_257,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
benefits derived from healthy ecosystems and costs caused by its depletion,IPBES_VA_2_38_28_21,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
benefits from the sustainable use of wild species,GBF_T9_H_27,GBF,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,1,TRUE,FALSE
benthich isotopes,IPCC_2_28_57_76,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
better life index,IPBES_GA_1_52_19_72,IPBES,Human well-being,Human well-being,Healthy living conditions,Wellness,0,FALSE,TRUE
biocapacity,GEO_13_19_143_121,GEO,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
biochemical oxygen demand (bod),IPBES_GA_3_74_399_484,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
bioclimatic ecosystem resilience index (beri),GBF_T8_C_43;GBF_GA_CY_27;GBF_T2_CY_123,GBF,ecosystems,NA,State of ecosystems (integrity),NA,1,TRUE,FALSE
biodiversity barometer (percentage of respondents giving correct definition of biodiversity),IPBES_GA_3_15_329_407;IPBES_GA3_sup_2,IPBES,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
biodiversity barometer (percentage of respondents that have heard of biodiversity),IPBES_GA_3_15_329_406;IPBES_GA3_sup_1,IPBES,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
biodiversity habitat index,GBF_GA_C_4;GBF_GA_CY_25;GBF_T2_CY_126;IPBES_GA_1_52_19_12;IPBES_GA_2.2_37_70_158;IPBES_GA_2.2_39_75_209;IPBES_GA_2.2_52_95_229;IPBES_GA2.2_sup_2;IPBES_GA2.2_sup_3,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
biodiversity habitat index,GBF_GA_C_4;GBF_GA_CY_25;GBF_T2_CY_126;IPBES_GA_1_52_19_12;IPBES_GA_2.2_37_70_158;IPBES_GA_2.2_39_75_209;IPBES_GA_2.2_52_95_229;IPBES_GA2.2_sup_2;IPBES_GA2.2_sup_3,IPBES,biodiversity,NA,State of biodiversity,NA,1,FALSE,TRUE
biodiversity habitat index (species persisting),IPBES_GA2.2_sup_55,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
"biodiversity habitat index (species persisting, hotspots)",IPBES_GA2.2_sup_54,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
biodiversity in poverty reduction strategies,IPBES_VA_4_28_109_64,IPBES,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
biodiversity intactness index,GBF_GA_CY_30;IPBES_GA_1_52_19_29;IPBES_GA_2_117_46_117;IPBES_GA_2.2_45_87_219;IPBES_GA_2.2_46_88_220;IPBES_GA_2.3_42_143_291;IPBES_GA_5_10_235_384;IPBES_VA_3_26_59_44;GEO_6_16_55_76;GEO_6_17_57_78;IPBES_GA2.2_sup_39,GBF,biodiversity,NA,State of biodiversity,NA,1,TRUE,FALSE
biodiversity intactness index,GBF_GA_CY_30;IPBES_GA_1_52_19_29;IPBES_GA_2_117_46_117;IPBES_GA_2.2_45_87_219;IPBES_GA_2.2_46_88_220;IPBES_GA_2.3_42_143_291;IPBES_GA_5_10_235_384;IPBES_VA_3_26_59_44;GEO_6_16_55_76;GEO_6_17_57_78;IPBES_GA2.2_sup_39,IPBES,biodiversity,NA,State of biodiversity,NA,1,FALSE,TRUE
biodiversity intactness index,GBF_GA_CY_30;IPBES_GA_1_52_19_29;IPBES_GA_2_117_46_117;IPBES_GA_2.2_45_87_219;IPBES_GA_2.2_46_88_220;IPBES_GA_2.3_42_143_291;IPBES_GA_5_10_235_384;IPBES_VA_3_26_59_44;GEO_6_16_55_76;GEO_6_17_57_78;IPBES_GA2.2_sup_39,GEO,biodiversity,NA,State of biodiversity,NA,1,FALSE,TRUE
biodiversity intactness index (hotspots),IPBES_GA2.2_sup_37,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
biodiversity intactness index (indigenous lands),IPBES_GA2.2_sup_38,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
biodiversity intactness index (tropical forest),IPBES_GA_2.2_37_70_186;IPBES_GA2.2_sup_47,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
