indicator_harmonized,indic_ids,source,Categories,Categories_2,Subcategories,Subcategories_2,policy,mea,assess
number of people who died or disappeared in the process of migration towards an international destination,SDG_G10.7.3_138,SDG,Governance,NA,Broken governance,NA,1,TRUE,FALSE
number of people who died or disappeared in the process of migration towards an international destinationi,IPBES_SUA_sup_10.7.3_76,IPBES,Governance,NA,Broken governance,NA,0,FALSE,TRUE
number of people without access to safe sanitation services,GEO_16_17_189_156,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_T13_C_55,GBF,biodiversity,NA,Genetic resources,NA,1,TRUE,FALSE
number of photos taken by the public in an advert to indicate aesthetic values,IPBES_VA_3_48_73_51,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_GA_CY_46;GBF_T9_CY_191;IPBES_SUA_sup_2.5.1_20,GBF,biodiversity,NA,Genetic resources,NA,1,TRUE,FALSE
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_GA_CY_46;GBF_T9_CY_191;IPBES_SUA_sup_2.5.1_20,IPBES,biodiversity,NA,Genetic resources,NA,1,FALSE,TRUE
number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_T4_C_26;IPBES_GA3_sup_52,GBF,biodiversity,NA,Genetic resources,NA,1,TRUE,FALSE
number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_T4_C_26;IPBES_GA3_sup_52,IPBES,biodiversity,NA,Genetic resources,NA,1,FALSE,TRUE
"number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either strp, parties and others, and is available via the ramsar website",RAMSAR_OG4.14_46,RAMSAR,Governance,Knowledge systems,National/international cooperation,Information on society and socio-economics,1,TRUE,FALSE
number of protected area management effectiveness (pame) assessments,IPBES_GA_3_72_395_475;IPBES_VA_3_27_60_47;IPBES_GA3_sup_47,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_T22_CY_260;GBF_T23_CY_268,GBF,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
number of publications,IPBES_SUA_4_2_109_44,IPBES,Knowledge systems,NA,Information on biodiversity,NA,0,FALSE,TRUE
number of ramsar sites designated for the following under represented wetland types: karst and other subterranean hydrological systems; coral reefs; wet grasslands; peatland; sea-grass beds; mangroves; temporary pools; bivalve (shellfish) reefs,RAMSAR_SG2.6_24,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
number of ramsar sites removed from the montreux record,RAMSAR_SG2.7_25,RAMSAR,ecosystems,NA,State of ecosystems (integrity),NA,1,TRUE,FALSE
number of ramsar sites reported by parties to the ramsar secretariat of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_27,RAMSAR,Governance,ecosystems,National/international cooperation,State of ecosystems (integrity),1,TRUE,FALSE
number of ramsar sites that have been designated,RAMSAR_SG2.6_21,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
"number of ramsar sites that have effective, implemented management plans",RAMSAR_SG2.5_14;RAMSAR_SG2.5_15,RAMSAR,ecosystems,Governance,Area conservation,National/international cooperation,1,TRUE,FALSE
number of rare or threatened species,IPBES_VA_2_38_28_14,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
number of regional initiatives successfully implemented,RAMSAR_OG4.15_48;RAMSAR_OG4.18_63,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
number of relevant ramsar handbooks downloaded from the ramsar web-site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_45,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
number of reports shared by the parties in compliance with the resolutions of the convention,CITES_G2.2.4_13,CITES,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
number of research studies involving economic valuation,IPBES_GA_3_15_329_411;IPBES_GA3_sup_6,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
number of residents living in floodplains,GEO_17_8_200_162,GEO,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
"number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation",UNCCD_SO5.6_15,UNCCD,Governance,Knowledge systems,National/international cooperation,Information on society and socio-economics,1,TRUE,FALSE
number of scientists per population,GBF_GD_CY_98,GBF,Knowledge systems,NA,Information on society and socio-economics,NA,1,TRUE,FALSE
"number of seizures made through parties collaboration across range, transit and destination states, to address entire illegal trade chains",CITES_G3.5.1_29,CITES,Governance,Direct drivers,Nature-based legislation,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,TRUE,FALSE
number of social media links to world wetland day,RAMSAR_OG4.16_54,RAMSAR,Knowledge systems,NA,Specific information on human-nature relationship,NA,1,TRUE,FALSE
number of species at risk of extinction,IPBES_IAS_4_22_102_31,IPBES,Knowledge systems,biodiversity,Information on biodiversity,State of biodiversity,0,FALSE,TRUE
number of species extinctions,IPBES_GA_1_52_19_70;IPBES_IAS_4_22_102_30,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
number of strp briefing papers downloaded from the ramsar web site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_44,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
number of studies on ias available per region,IPBES_IAS_2_13_15_11,IPBES,Knowledge systems,biodiversity,Information on biodiversity,Invasive alien species,0,FALSE,TRUE
number of summer days: annual count of days when tx (daily maximum temperature) >25°c,IPCC_sup_13,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,IPBES_SUA_4_65_122_50,IPBES,Knowledge systems,NA,Information on biodiversity,NA,0,FALSE,TRUE
"number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf. 16.7 (rev. cop17) on non-detriment findings related to - the population status of appendix-ii species; - the trends and impact of trade upon appendix-ii species; and - the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",CITES_G2.2.1_10,CITES,Knowledge systems,Direct drivers,Information on biodiversity,Specific mention of over-exploitation and unsustainable use of species/ecosystems,1,TRUE,FALSE
number of threatened species by species group,GBF_GA_CY_36,GBF,biodiversity,NA,Species conservation,NA,1,TRUE,FALSE
number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES_G5.1.4_49,CITES,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
number of tourists,IPBES_IAS_2_5_11_5,IPBES,Human well-being,NA,Recreation,NA,0,FALSE,TRUE
"number of tourists, scientists and facilities per biogeographic region",IPBES_IAS_6_21_146_57,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
number of transboundary ramsar sites that have been designated,RAMSAR_SG2.6_23,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,IPCC_sup_14,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_GC_CY_90,GBF,biodiversity,NA,Genetic resources,NA,1,TRUE,FALSE
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",SDG_G16.10.1_232,SDG,Knowledge systems,Governance,Information on society and socio-economics,Broken governance,1,TRUE,FALSE
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",SDG_G16.2.2_217,SDG,Knowledge systems,Governance,Information on society and socio-economics,Broken governance,1,TRUE,FALSE
"number of victims of intentional homicide per 100,000 population, by sex and age",SDG_G16.1.1_212,SDG,Knowledge systems,Governance,Information on society and socio-economics,Broken governance,1,TRUE,FALSE
number of vulnerable marine ecosystems,GEO_14_16_155_131,GEO,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
number of widespread phyla for which no information was available for a particular region,IPBES_IAS_2_13_16_12,IPBES,Knowledge systems,NA,Information on biodiversity,NA,0,FALSE,TRUE
number of wildlife pictures posted on a photo-sharing website,IPBES_VA_3_48_73_53,IPBES,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared cites listed species,CITES_G2.2.3_12;CITES_G3.2.2_25,CITES,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
number of world natural heritage sites per country per year,IPBES_GA_1_52_19_60,IPBES,Governance,Knowledge systems,Nature-based legislation,Information on society and socio-economics,0,FALSE,TRUE
number of world wetland day activities or events reported to the secretariat,RAMSAR_OG4.16_51,RAMSAR,Knowledge systems,NA,Specific information on human-nature relationship,NA,1,TRUE,FALSE
number of written ndfs submitted and number of parties submitting ndfs for posting in the cites online database,CITES_G2.1.2_8,CITES,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
number of ‘hits’ on scientific and technical guidance pages of the ramsar web-site and associated subtotals by country and ramsar region of the source of these hits,RAMSAR_OG4.14_43,RAMSAR,Knowledge systems,Knowledge systems,Information on society and socio-economics,Specific information on human-nature relationship,1,TRUE,FALSE
"number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",GBF_T9_H_29,GBF,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,1,TRUE,FALSE
numbers of scientific publications on biodiversity,IPBES_GA_3_49_379_452,IPBES,Knowledge systems,Knowledge systems,Information on society and socio-economics,Information on biodiversity,0,FALSE,TRUE
nutrient pollution,GEO_14_15_152_127,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
nutrient runoff into oceans (n and p),GEO_20_8_234_209,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
nutrition,GEO_3_5_16_22,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
o recovery,GEO_5_17_42_53,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
o3 concentration,GEO_5_17_41_49;GEO_5_17_42_51,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
o3 emissions,GEO_20_6_228_194,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
occurrence of heat-related human mortality,IPCC_1_62_25_25,IPCC,Human well-being,Direct drivers,Healthy living conditions,Natural drivers,0,FALSE,TRUE
ocean acidification,GBF_GB_CY_65;GEO_2_26_7_5,GBF,Direct drivers,NA,Pollution,NA,1,TRUE,FALSE
ocean acidification,GBF_GB_CY_65;GEO_2_26_7_5,GEO,Direct drivers,NA,Pollution,NA,1,FALSE,TRUE
ocean health index,GBF_GA_CY_31;IPBES_GA_2.2_38_74_208;IPBES_GA_4_155_228_380;IPBES_GA_6_86_279_398;GEO_6_8_48_65,GBF,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,TRUE,FALSE
ocean health index,GBF_GA_CY_31;IPBES_GA_2.2_38_74_208;IPBES_GA_4_155_228_380;IPBES_GA_6_86_279_398;GEO_6_8_48_65,IPBES,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,FALSE,TRUE
ocean health index,GBF_GA_CY_31;IPBES_GA_2.2_38_74_208;IPBES_GA_4_155_228_380;IPBES_GA_6_86_279_398;GEO_6_8_48_65,GEO,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,1,FALSE,TRUE
ocean heat content,IPCC_1_13_4_7;IPCC_1_70_30_34;IPCC_2_26_47_63;IPCC_2_63_104_108;IPCC_3_51_187_148,IPCC,ecosystems,Direct drivers,State of ecosystems,Climate change,0,FALSE,TRUE
ocean heat content and specific humidity,GEO_2_26_7_11,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
ocean heat content ohc,IPCC_9_37_432_257,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
ocean ph,IPCC_4_18_229_178,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
ocean salinity,IPCC_3_84_212_166,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
ocean temperature,IPCC_3_51_187_147,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
ocean-colour,IPCC_2_76_123_122,IPCC,ecosystems,NA,State of ecosystems (marine),NA,0,FALSE,TRUE
oceanic carbon sequestration,IPBES_GA_2.2_37_70_176;IPBES_GA2.2_sup_33,IPBES,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
oceanic niño index (oni),IPCC_2_86_146_133,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
ocenan ph,IPCC_2_81_132_128,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
odss and ghgs,GEO_5_17_41_48,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
oecd better life index,IPBES_GA_4_131_209_374,IPBES,Human well-being,NA,Wellness,NA,0,FALSE,TRUE
official development assistance on conservation and sustainable use of biodiversity,SDG_G15.a.1.a_207;SDG_G15.b.1.a_209;IPBES_SUA_sup_15.a.1.a_133;IPBES_SUA_sup_15.b.1.a_135,SDG,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
official development assistance on conservation and sustainable use of biodiversity,SDG_G15.a.1.a_207;SDG_G15.b.1.a_209;IPBES_SUA_sup_15.a.1.a_133;IPBES_SUA_sup_15.b.1.a_135,IPBES,Governance,NA,Nature-based legislation,NA,1,FALSE,TRUE
official development assistance provided in support of the cbd objectives,IPBES_GA_3_51_381_457;IPBES_GA3_sup_67,IPBES,Governance,NA,Legislation/governance,NA,0,FALSE,TRUE
old ship logbooks,IPCC_2_58_90_94,IPCC,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
one-in-20 year return value of maximum five-day precipitation,IPCC_sup_33,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
one-in-20 year return value of maximum one-day precipitation,IPCC_sup_32,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
one-in-20 year return value of monthly maximum value of daily maximum temperature,IPCC_sup_17,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
one-in-20 year return value of monthly maximum value of daily minimum temperature,IPCC_sup_20,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
one-in-20 year return value of monthly minimum value of daily maximum temperature,IPCC_sup_18,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
one-in-20 year return value of monthly minimum value of daily minimum temperature,IPCC_sup_19,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
online interest in biodiversity (proportion of google searches),IPBES_GA_3_15_329_409;IPBES_GA3_sup_4,IPBES,Knowledge systems,NA,Information on biodiversity,NA,0,FALSE,TRUE
opening up of forest canopy,IPBES_GA_2.2_65_113_236,IPBES,Direct drivers,NA,Land conversion,NA,0,FALSE,TRUE
organisms` size or growth,IPBES_GA_4_34_176_368,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
other governance-related indicator on cms implementation,CMS_G1.3_5,CMS,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_T1_CY_108,GBF,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate,RAMSAR_SG3.12_41,RAMSAR,ecosystems,NA,Restoration efforts,NA,1,TRUE,FALSE
overall species abundance,IPBES_GA_1_52_19_58,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
overexploitation of resources by outsiders and locals,IPBES_GA_2.2_6_56_145,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
pacific decadal oscillation (pdo),IPCC_2_89_154_136;IPCC_3_80_205_160,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
pacific decadal variability (pdv),IPCC_3_78_203_159;IPCC_3_80_206_162;IPCC_3_81_208_163,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
paleo-temperature records,IPCC_2_29_62_78,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
palmer drought severity index (pdsi),IPCC_8_66_403_248;IPCC_11_58_543_305;IPCC_11_60_549_311;IPCC_sup_40,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
pan evaporation measurements,IPCC_11_61_551_321,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",SDG_G4.5.1_62,SDG,Human assets,NA,Coverage of basic needs,ILK,1,TRUE,FALSE
"participation rate in organized learning (one year before the official primary entry age), by sex",SDG_G4.2.2_59,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",SDG_G4.3.1_60,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
passenger and freight volumes by mode of transport,IPBES_GA_3_128_421_498,IPBES,Human assets,NA,Infrastructure (build-up area),NA,0,FALSE,TRUE
"passenger and freight volumes, by mode of transport",SDG_G9.1.2_118;IPBES_SUA_sup_9.1.2_60,SDG,Human assets,NA,Infrastructure (build-up area),NA,1,TRUE,FALSE
"passenger and freight volumes, by mode of transport",SDG_G9.1.2_118;IPBES_SUA_sup_9.1.2_60,IPBES,Human assets,NA,Infrastructure (build-up area),NA,1,FALSE,TRUE
peatland extent and condition,GBF_GA_CY_6,GBF,ecosystems,NA,State of ecosystems (coverage),NA,1,TRUE,FALSE
penman-monteith aed (atmospheric evaporative demand),IPCC_11_61_551_322,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
people per outlet mcdonals,IPBES_GA2.1_sup_19,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,IPBES_VA_3_2_52_42,IPBES,Knowledge systems,NA,Specific information on human-nature relationship,NA,0,FALSE,TRUE
per capita calorie intake,IPBES_GA2.1_sup_8,IPBES,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,0,FALSE,TRUE
per capita consumption,IPBES_GA_2_22_28_85,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
percent of total land area that is under cultivation,GBF_T1_CY_111,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
percentage change in local species richness,IPBES_GA3_sup_55,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
percentage loss of red list indexed species from ramsar sites,RAMSAR_SG2.5_20,RAMSAR,biodiversity,NA,Change in biodiversity,NA,1,TRUE,FALSE
percentage of abroad land use footprint,IPBES_GA_2_118_47_119,IPBES,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,0,FALSE,TRUE
percentage of agricultural and urban areas,IPBES_GA_2_118_47_120,IPBES,ecosystems,Knowledge systems,State of ecosystems (coverage),Information on society and socio-economics,0,FALSE,TRUE
percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_T3_CY_141,GBF,ecosystems,Governance,Area conservation,Nature-based legislation,1,TRUE,FALSE
percentage of bloodstream infections due to selected antimicrobial-resistant organisms,SDG_G3.d.2_55,SDG,Direct drivers,NA,(Infectious) diseases,NA,1,TRUE,FALSE
"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",GEO_15_21_173_146,GEO,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
percentage of contracting parties that have provided additional financial support through voluntary contributions to non-core funded convention activities,RAMSAR_OG4.17_60,RAMSAR,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
percentage of countries that are category 1 cites parties,IPBES_GA_1_52_19_8;IPBES_GA_3_15_329_414;IPBES_GA3_sup_9,IPBES,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
percentage of countries that have ratified the nagoya protocol,IPBES_GA3_sup_59,IPBES,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
percentage of countries with invasive alien species legislation,IPBES_GA_3_72_395_482;IPBES_GA3_sup_35,IPBES,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
percentage of countries with revised nbsaps,IPBES_GA3_sup_60,IPBES,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_T17_CY_228,GBF,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
percentage of cropped landscapes with at least 10 percentage natural land,GBF_T2_CY_122,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
percentage of days when daily maximum temperature is greater than the 90th percentile,IPCC_sup_5,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
percentage of days when daily maximum temperature is less than the 10th percentile,IPCC_sup_6,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
percentage of days when daily minimum temperature is greater than the 90th percentile,IPCC_sup_7,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
percentage of days when daily minimum temperature is less than the 10th percentile,IPCC_sup_8,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
percentage of freshwater key biodiversity areas covered by protected areas,IPBES_GA_3_72_395_468,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
percentage of global rural population with access to improved water resources,IPBES_GA3_sup_58,IPBES,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,0,FALSE,TRUE
percentage of land and seas covered by biodiversity-inclusive spatial plans,GBF_T1_H_15,GBF,ecosystems,NA,Area conservation,NA,1,TRUE,FALSE
percentage of live coral cover,IPBES_GA_2.2_70_120_246;IPBES_GA_3_34_361_441,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
percentage of marine ecoregions covered by protected areas,IPBES_GA3_sup_45,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
percentage of marine key biodiversity areas covered by protected areas,IPBES_GA_3_72_395_472,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
percentage of parties having a national inventory of invasive alien species that currently or potentially impact the ecological character of wetlands,RAMSAR_SG1.4_11,RAMSAR,biodiversity,Direct drivers,Change in biodiversity,Invasive alien species,1,TRUE,FALSE
percentage of parties having national ramsar committees that include both governmental and non-governmental representation,RAMSAR_SG1.3_9,RAMSAR,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
percentage of parties reporting actions taken to implement incentive measures that encourage the conservation and wise use of wetlands,RAMSAR_SG1.3_6,RAMSAR,Governance,ecosystems,Nature-based legislation,Area conservation,1,TRUE,FALSE
percentage of parties reporting actions taken to remove perverse incentive measures that discourage conservation and wise use of wetlands,RAMSAR_SG1.3_7,RAMSAR,Governance,ecosystems,National/international cooperation,Area conservation,1,TRUE,FALSE
percentage of parties reporting having sufficient information to enforce the convention,CITES_G2.3.2_17,CITES,Knowledge systems,Governance,Information on biodiversity,National/international cooperation,1,TRUE,FALSE
percentage of parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs,CITES_G2.4.1_18,CITES,Knowledge systems,Governance,Information on biodiversity,National/international cooperation,1,TRUE,FALSE
"percentage of parties reporting private sector undertaking activities for the conservation, wise use and management of wetlands in general",RAMSAR_SG1.3_8,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
percentage of parties reporting to the ramsar secretariat all cases of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_26,RAMSAR,ecosystems,NA,Change in ecosystems,NA,1,TRUE,FALSE
percentage of parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods,CITES_G4.1.2_36,CITES,Knowledge systems,Governance,Specific information on ILK and IPLC,National/international cooperation,1,TRUE,FALSE
percentage of parties that consider wetlands as natural water infrastructure integral to water resource management at the scale of river basin,RAMSAR_SG3.9_33,RAMSAR,Ecosystem services,Governance,Specific mention of sustainable use of species/ecosystems,Nature-based legislation,1,TRUE,FALSE
percentage of parties that have adopted wetland policies or equivalent instruments that promote the wise use of their wetlands,RAMSAR_SG3.9_32,RAMSAR,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
percentage of parties that have been involved in the development and implementation of a regional initiative under the framework of the convention,RAMSAR_OG4.15_49;RAMSAR_OG4.18_64,RAMSAR,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
percentage of parties that have branded world wetlands day activities,RAMSAR_OG4.16_50,RAMSAR,Knowledge systems,NA,Specific information on human-nature relationship,NA,1,TRUE,FALSE
percentage of parties that have complete national wetland inventories,RAMSAR_SG3.8_30,RAMSAR,Knowledge systems,NA,Information on biodiversity,NA,1,TRUE,FALSE
percentage of parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones),RAMSAR_OG4.18_66,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
percentage of parties that have established national action plans for wetland cepa,RAMSAR_OG4.16_56,RAMSAR,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
percentage of parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features,RAMSAR_OG4.18_65,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
percentage of parties that have established or reviewed national policies or guidelines on invasive wetland species control and management,RAMSAR_SG1.4_10,RAMSAR,Governance,Direct drivers,Nature-based legislation,Invasive alien species,1,TRUE,FALSE
percentage of parties that have established restoration plans [or activities] for sites,RAMSAR_SG3.12_39,RAMSAR,ecosystems,NA,Restoration efforts,NA,1,TRUE,FALSE
percentage of parties that have implemented effective restoration or rehabilitation projects,RAMSAR_SG3.12_40,RAMSAR,ecosystems,NA,Restoration efforts,NA,1,TRUE,FALSE
percentage of parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans,RAMSAR_SG3.11_38,RAMSAR,Human well-being,NA,Healthy living conditions,NA,1,TRUE,FALSE
percentage of parties that have included wetland issues within national policies or measures on agriculture,RAMSAR_SG1.1_3,RAMSAR,Governance,Ecosystem services,Nature-based legislation,Specific monetary valuation of nature contribution,1,TRUE,FALSE
percentage of parties that have included wetland issues within national strategies and planning processes such as water resource management and water efficiency plans,RAMSAR_SG1.1_2;RAMSAR_SG1.2_4,RAMSAR,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,1,TRUE,FALSE
percentage of parties that have incorporated wetlands issues into poverty eradication strategies,RAMSAR_SG3.11_37,RAMSAR,Governance,Human well-being,Nature-based legislation,Healthy living conditions,1,TRUE,FALSE
percentage of parties that have made an assessment of national and local training needs for the implementation of the convention,RAMSAR_OG4.19_70,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
percentage of parties that have made assessment of ecosystem services of ramsar sites,RAMSAR_SG1.1_1;RAMSAR_SG3.11_36,RAMSAR,Knowledge systems,Ecosystem services,Information on biodiversity,Nature contribution,1,TRUE,FALSE
percentage of parties that have made assessments of effective management of ramsar sites,RAMSAR_SG2.5_16,RAMSAR,Knowledge systems,ecosystems,Information on biodiversity,Area conservation,1,TRUE,FALSE
