error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,amount of biodiversity-related philanthropic funding,GBF_T19_CY_242,GBF,1,Governance,Nature-based funding,NA,NA
,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption),GBF_T18_CY_236;SDG_G12.c.1_174;IPBES_SUA_sup_12.c.1_101,GBF;SDG;IPBES,1,Governance,Nature detrimental legislation,NA,NA
,amount of funding provided through the global environment facility and allocated to the biodiversity focal area,GBF_T19_CY_237,GBF,1,Governance,Nature-based funding,NA,NA
,amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SDG_G6.a.1_92;IPBES_SUA_sup_6.a.1_37,SDG;IPBES,1,Human assets,Coverage of basic needs,NA,NA
,amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SDG_G13.a.1_181;IPBES_SUA_sup_13.a.1_108,SDG;IPBES,1,Human assets,State of economy,NA,NA
,animal behavior,GA_2.3_40_140,IPBES,0,Knowledge systems,ILK,biodiversity,State of biodiversity
,annual count of days when precipitation is greater than or equal to 10 mm,IPCC_sup_24,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,annual count of days when precipitation is greater than or equal to 20 mm,IPCC_sup_25,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,annual count of days when precipitation is greater than or equal to 5 mm,IPCC_sup_23,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,annual count of days when precipitation is greater than or equal to 50 mm,IPCC_sup_26,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,annual global mean surface temperature,GEO_2_26_7,GEO,0,ecosystems,Abiotic conditions,NA,NA
,annual growth rate of real gross domestic product,SDG_G8.1.1_100;IPBES_SUA_sup_8.1.1_44,SDG;IPBES,1,Human assets,Income,NA,NA
,annual growth rate of real gross domestic product per employed person,SDG_G8.2.1_101;IPBES_SUA_sup_8.2.1_45,SDG;IPBES,1,Human assets,Income,NA,NA
,annual gsat change,IPCC_1_50_21,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,annual ice volume,IPCC_1_50_21,IPCC,0,ecosystems,State of ecosystems,NA,NA
,annual mean levels of fine particulate matter in cities,GBF_T11_C_51;SDG_G11.6.2_153;IPBES_SUA_sup_11.6.2_83,GBF;SDG;IPBES,1,Direct drivers,Pollution,ecosystems,State of ecosystems (integrity)
,annual mean wind speed,IPCC_sup_50,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,annual precipitation amount when the daily precipitation exceeds the 99th percentile of the wet-day precipitation,IPCC_sup_30,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,annual rate of net forest loss,GA_3_27_356;GA_3_27_356,IPBES,0,ecosystems,Change in ecosystems,NA,NA
,annual total precipitation when the daily precipitation exceeds the 95th percentile of the wet-day (>1 mm) precipitation,IPCC_sup_29,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,annual tropical primary tree cover loss,GBF_T2_CY_118,GBF,1,ecosystems,Change in ecosystems,NA,NA
,annular mode index,IPCC_4_51_251,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,antarctic ice cores,IPCC_1_13_4,IPCC,0,ecosystems,State of ecosystems,Direct drivers,Climate change
,antarctic ice sheet loss,IPCC_7_55_334,IPCC,0,ecosystems,Change in ecosystems,NA,NA
,anthropogenic emissions of long-lived greenhouse gases (co2 equivalents),GEO_12_15_115,GEO,0,Direct drivers,Pollution,NA,NA
,anthropogenic emissions of long-lived greenhouse gases (ghg emissions),GEO_12_18_121,GEO,0,Direct drivers,Pollution,NA,NA
,antimicrobial resistence in pathogens,GEO_4_15_35,GEO,0,biodiversity,State of biodiversity,NA,NA
,appearance of new grass in grazing areas,VA_3_6_54,IPBES,0,Knowledge systems,ILK,NA,NA
,arctic sea ice area,IPCC_4_7_219;IPCC_9_37_433,IPCC,0,ecosystems,State of ecosystems,NA,NA
,arctic species trend index,GA_3_169_443;GEO_6_24_60,IPBES;GEO,0,biodiversity,Change in biodiversity,NA,NA
,"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",SUA_2_92_69,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,Knowledge systems,Specific information on human-nature relationship
,area and percent of forests used for subsistence purposes,SUA_2_92_69,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,area of agricultural land under conservation,GA_1_52_19;GA_3_15_329;IPBES_GA3_sup_28,IPBES,0,ecosystems,Area conservation,Direct drivers,Land conversion
,area of agricultural land under organic production,GA_3_15_329;IPBES_GA2.1_sup_34;IPBES_GA3_sup_27,IPBES,0,Direct drivers,Land conversion,Ecosystem services,Nature contribution
,area of floodplain wetlands,GA_2.3_39_137,IPBES,0,ecosystems,State of ecosystems,NA,NA
,area of forest under sustainable management,GBF_T10_C_47;GA_3_72_395;IPBES_GA3_sup_29,GBF;IPBES,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,ecosystems,Area conservation
,area of natural and traditional landscapes and seascapes,GA_2.3_42_143,IPBES,0,ecosystems,State of ecosystems,NA,NA
,area under restoration,GBF_T2_H_17,GBF,1,ecosystems,Restoration efforts,NA,NA
,areas below calcium carbonate saturation thresholds,IPCC_12_24_615,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,arrival of new native and alien species,GA_2.2_6_56,IPBES,0,Direct drivers,Invasive alien species,NA,NA
,associated species,SUA_2_96_79,IPBES,0,Knowledge systems,ILK,biodiversity,State of biodiversity
,atlantic meridional overturning circulation (amoc),IPCC_2_69_110;IPCC_4_8_220;IPCC_4_18_229,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,atlantic multi-decadal variability (amv) index,IPCC_2_90_158;IPCC_3_83_210;IPCC_10_58_493,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,atmosphere-land co2 fluxes,IPCC_3_64_190,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,atmospheric co2 concentrations,IPCC_1_16_6;IPCC_1_92_33;IPCC_2_81_132;IPCC_3_64_190,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,atmospheric dust deposition,IPCC_2_43_71,IPCC,0,Direct drivers,Pollution,NA,NA
,atmospheric evaporative demand (aed),IPCC_11_60_547,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,atmospheric internal variability,IPCC_8_88_422,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,atmospheric inversions,IPCC_5_40_281,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,average conservation status,GA_4_158_230,IPBES,0,biodiversity,Species conservation,NA,NA
,"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SDG_G8.5.1_105;IPBES_SUA_sup_8.5.1_49,SDG;IPBES,1,Human assets,Income,NA,NA
,"average income of small-scale food producers, by sex and indigenous status",GBF_T10_C_48;SDG_G2.3.2_20;IPBES_SUA_sup_2.3.2_18,GBF;SDG;IPBES,1,Human assets,Income,NA,NA
,average marine acidity (ph) measured at agreed suite of representative sampling stations,SDG_G14.3.1_186;IPBES_SUA_sup_14.3.1_113,SDG;IPBES,1,ecosystems,State of ecosystems (marine),Direct drivers,Climate change
,average number of years of schooling,GA_2_25_31,IPBES,0,Human assets,Coverage of basic needs,NA,NA
,average share of the built-up area of cities that is green/blue space for public use for all,GBF_T12_H_33,GBF,1,Human well-being,Healthy living conditions,NA,NA
,"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",SDG_G11.7.1_154,SDG,1,Human assets,Infrastructure (build-up area),NA,NA
