error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,"number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature's contributions to people, including ecosystem functions and services",GBF_GB_H_6,GBF,1,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,SUA_2_90_65,IPBES,0,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,number of countries with regulations requiring recovered of depleted species,SUA_2_90_65,IPBES,0,Governance,Nature-based legislation,NA,NA
,number of countries with systems to track and make public allocations for gender equality and women's empowerment,GBF_T22_CY_256;GBF_T23_CY_267,GBF,1,Human well-being,Equity,NA,NA
,number of days with snow water equivalent >100 mm (swe100) over the snow season (nov-mar for nh),IPCC_sup_51,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,"number of days with tmax >35°c or 40°c (tx35, tx40)",IPCC_sup_43,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",GBF_T11_C_49;GBF_GB_CY_72;SDG_G1.5.1_7;SDG_G11.5.1_148;SDG_G13.1.1_175;IPBES_SUA_sup_1.5.1_6;IPBES_SUA_sup_11.5.1_81;IPBES_SUA_sup_13.1.1_102,GBF;SDG;IPBES,1,Direct drivers,Natural drivers,NA,NA
,"number of disruptions to basic services, attributed to disasters",SDG_G11.5.3.b_151,SDG,1,Knowledge systems,Information on society and socio-economics,NA,NA
,number of events submitted to the world wildlife day website,CITES_G4.3.5_42,CITES,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,number of extintions,GA_3_40_367,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,number of followers on cites social media platforms,CITES_G4.3.3_40,CITES,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,number of formal and nonformal education programmes transmitting spiritual and cultural values in the unesco world network of biosphere reserves,GBF_GB_CY_81,GBF,1,Human well-being,Cultural diversity,Knowledge systems,Information on society and socio-economics
,number of frost days below 0°c (fd),IPCC_sup_46,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,number of frost days: annual count of days when tn (daily minimum temperature) <0°c,IPCC_sup_10,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),GBF_T3_CY_134,GBF,1,ecosystems,Area conservation,NA,NA
,number of icing days: annual count of days when tx (daily maximum temperature) <0°c,IPCC_sup_9,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,"number of implemented cooperation agreements between the secretariat and multilateral environmental agreements (meas), including the biodiversity liaison group (blg) and other biodiversity-related conventions",CITES_G5.1.5_50,CITES,1,Governance,National/international cooperation,NA,NA
,number of internationally recognized certificates of compliance for non-commercial purposes,GBF_GC_CY_93,GBF,1,Governance,National/international cooperation,NA,NA
,number of internet references to the ramsar convention,RAMSAR_OG4.16_53,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,number of internet references to world wetland day activities,RAMSAR_OG4.16_52,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,number of invasive alien species in national lists as per the global register of introduced and invasive species,GBF_T6_CY_167,GBF,1,Direct drivers,Invasive alien species,Knowledge systems,Information on biodiversity
,number of invasive alien species introduction events,GBF_T6_C_35;GA_3_72_395;IPBES_GA3_sup_33,GBF;IPBES,1,Direct drivers,Invasive alien species,NA,NA
,number of invasive species that are being controlled through management actions,RAMSAR_SG1.4_12,RAMSAR,1,Direct drivers,Invasive alien species,biodiversity,Species conservation
,"number of key identified hashtags (e.g. #cites, #citescop19 #worldwildlifeday, etc.) on cites social media",CITES_G4.3.4_41,CITES,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",GBF_T8_CY_184;SDG_G13.b.1_182;IPBES_SUA_sup_13.b.1_109,GBF;SDG;IPBES,1,Governance,Nature-based legislation,NA,NA
,number of meetings/cop where representatives of other international bodies report on relevant activities to cites parties,CITES_G4.4.1_43,CITES,1,Governance,National/international cooperation,NA,NA
,"number of mixed sites (having both natural and cultural outstanding universal values), cultural landscapes (recognized as combined works of nature and people) and natural sites with cultural values including those supporting local and indigenous knowledge and practices inscribed on the unesco world heritage list and unesco world network of biosphere reserves",GBF_GB_CY_82,GBF,1,Human well-being,Cultural diversity,Knowledge systems,ILK
,number of msc chain of custody certification holders by distribution country,GBF_T5_CY_165;GBF_T9_CY_189,GBF,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA
,"number of new hiv infections per 1,000 uninfected population, by sex, age and key populations",SDG_G3.3.1_32,SDG,1,Human assets,Coverage of basic needs,Direct drivers,(Infectious) diseases
,"number of new, unique visits to the cites website",CITES_G4.3.1_38,CITES,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
